Group,Species,Individual,proboscisLength,bodyLength,proboscisBodyRatio,wingLength,wingArea,aspectRatio,lightness,contrast,OBS,,,
Erebidae: Arctiinae,Arctiarpia_melanopasta_916,EcEs-Lep-00151,9.22,15.75,0.59,20.15,199.62,2.03,128,72,,,,
Erebidae: Arctiinae,Arctiarpia_melanopasta_916,EcEs-Lep-04291,NA,14.38,NA,17.57,164.85,1.87,122,68,,,,
Erebidae: Arctiinae,Arctiarpia_melanopasta_916,EcEs-Lep-04292,NA,16.23,NA,19.41,187.34,2.01,141,54,,,,
Erebidae: Arctiinae,Areva_nr_trigemmis_868,EcEs-Lep-00154,4.78,10.61,0.45,12.2,82.29,1.81,130,67,,,,
Erebidae: Arctiinae,Areva_nr_trigemmis_868,EcEs-Lep-00190,4.12,9.48,0.43,11.84,75.98,1.85,160,47,,,,
Erebidae: Arctiinae,Areva_nr_trigemmis_868,EcEs-Lep-00355,5.14,12.45,0.41,13.98,103.19,1.89,132,60,,,,
Erebidae: Arctiinae,Areva_nr_trigemmis_868,EcEs-Lep-02161,NA,9.61,NA,11.78,74.88,1.85,172,70,,,,
Erebidae: Arctiinae,Astralarctia_canalis_1051,EcEs-Lep-01173,NA,13.23,NA,15.68,93.63,2.62,137,49,,,,
Erebidae: Arctiinae,Atyphopsis_nr_modesta_772,EcEs-Lep-00245,6.23,11.05,0.56,13.6,96.84,1.91,128,66,,,,
Erebidae: Arctiinae,Atyphopsis_nr_modesta_772,EcEs-Lep-10682,NA,10.32,NA,11.88,71.72,1.97,116,64,,,,
Erebidae: Arctiinae,Balbura_intervenata_1227,EcEs-Lep-00046,8.38,11.4,0.74,14.06,100.89,1.96,60,36,,,,
Erebidae: Arctiinae,Balburdia_cf_dorsigiana_894,EcEs-Lep-00559,8.38,9.46,0.89,11.1,61.03,2.02,119,38,PL: proxy from intervenata (0046),,,
Erebidae: Arctiinae,Balburdia_cf_dorsigiana_894,EcEs-Lep-04015,8.38,10.24,0.82,12.87,83.37,1.99,81,30,PL: proxy from intervenata (0046),,,
Erebidae: Arctiinae,Baritius_(cf)_cf_grandis_918,EcEs-Lep-00224,10.49,13.41,0.78,15.93,130.07,1.95,162,61,,,,
Erebidae: Arctiinae,Baritius_(cf)_cf_grandis_918,EcEs-Lep-03423,NA,12.36,NA,14.01,102.97,1.91,168,55,,,,
Erebidae: Arctiinae,Baritius_nr_eleuthera_917,EcEs-Lep-00139,5.41,12.3,0.44,14.65,119.32,1.8,152,52,,,,
Erebidae: Arctiinae,Belemnia_sp_775,EcEs-Lep-00365,8.33,16.36,0.51,20.67,182.94,2.34,34,20,,,,
Erebidae: Arctiinae,Bertholdia_sp_920,EcEs-Lep-00493,9.89,15.81,0.63,17.45,147.16,2.07,126,92,,,,
Erebidae: Arctiinae,Bertholdia_sp_920,EcEs-Lep-01075,9.08,14.09,0.64,16.6,134.42,2.05,113,102,,,,
Erebidae: Arctiinae,Bertholdia_sp_920,EcEs-Lep-04338,NA,14.59,NA,17.38,149.13,2.03,118,81,,,,
Erebidae: Arctiinae,Bertholdia_specularis_919,EcEs-Lep-00184,8.75,14.32,0.61,16.32,120.13,2.22,162,88,,,,
Erebidae: Arctiinae,Cacostatia_(cf)_sp_1426,EcEs-Lep-00669,6.93,12.61,0.55,14.98,105.94,2.12,72,52,,,,
Erebidae: Arctiinae,Cacostatia_(cf)_sp_1426,EcEs-Lep-05259,NA,15.11,NA,18.58,175.26,1.97,100,76,,,,
Erebidae: Arctiinae,Cacostatia_nr_germana_1131,EcEs-Lep-00137,6.87,12.41,0.55,15.23,114.78,2.02,61,49,,,,
Erebidae: Arctiinae,Cacostatia_nr_germana_1131,EcEs-Lep-00323,6.96,15.42,0.45,15.01,105.44,2.14,58,52,,,,
Sphingidae,Callionima_nomius_103,EcEs-Lep-01465,15.63,44.33,0.35,35.78,516.55,2.48,52,27,PL: from Ugo's U_1164,,,
Sphingidae,Callionima_pan_pan_102,EcEs-Lep-00081,19.4,40.46,0.48,34.87,486.64,2.5,54,41,,,,
Sphingidae,Callionima_pan_pan_102,EcEs-Lep-00298,19.01,35.89,0.53,32.86,414.63,2.6,70,46,,,,
Sphingidae,Callionima_pan_pan_102,EcEs-Lep-01279,18.25,40.23,0.45,34.5,472.61,2.52,58.67,38,"BL, WL, WA, lightness, contrast: averageges of all Callionimas",,,
Erebidae: Arctiinae,Castrica_phalaenoides_1078,EcEs-Lep-00444,8.37,14.55,0.58,16.63,124.65,2.22,62,54,,,,
Erebidae: Arctiinae,cf_Metaxantha_atribasis_1365,EcEs-Lep-01162,NA,13.79,NA,14.19,62.47,3.23,43,30,,,,
Erebidae: Arctiinae,Chetone_cf_ithrana_897,EcEs-Lep-00073,9.42,20.38,0.46,32.9,667.42,1.62,56,45,,,,
Erebidae: Arctiinae,Chetone_cf_ithrana_897,EcEs-Lep-00105,9.08,18.97,0.48,33.89,678.93,1.69,36,40,,,,
Erebidae: Arctiinae,Chetone_cf_ithrana_897,EcEs-Lep-01508,9,19.26,0.47,33.43,678.4,1.65,42,72,,,,
Erebidae: Arctiinae,Chrostosoma_nr_schausi_776,EcEs-Lep-00439,6.56,8.59,0.76,12.68,51.66,3.11,62,129,,,,
Erebidae: Arctiinae,Chrostosoma_nr_schausi_776,EcEs-Lep-00524,NA,9.66,NA,12.44,49.39,3.13,64,98,,,,
Erebidae: Arctiinae,Chrostosoma_nr_schausi_776,EcEs-Lep-10556,NA,8.42,NA,10.94,45.56,2.63,61,113,,,,
Erebidae: Arctiinae,Cisthene_citrina_1324,EcEs-Lep-00342,3.04,5.04,0.6,7.29,25.44,2.09,132,37,,,,
Erebidae: Arctiinae,Cisthene_citrina_1324,EcEs-Lep-01324,NA,6.88,NA,12.38,121.04,1.27,165,31,,,,
Erebidae: Arctiinae,Cisthene_croesus_869,EcEs-Lep-00156,3.23,3.34,0.96,3.03,11.4,0.8,126,42,,,,
Erebidae: Arctiinae,Cisthene_croesus_869,EcEs-Lep-00754,3.27,2.9,1.13,6.18,24.93,1.53,135,46,,,,
Erebidae: Arctiinae,Cisthene_sp_870,EcEs-Lep-00032,2.51,6.61,0.38,6.84,28.34,1.65,134,29,,,,
Erebidae: Arctiinae,Cisthene_sp_870,EcEs-Lep-00062,2.96,6.46,0.46,7.47,31.71,1.76,142,28,,,,
Erebidae: Arctiinae,Cisthene_sp_870,EcEs-Lep-00163,2.26,5.64,0.4,7.04,27.44,1.81,146,30,,,,
Erebidae: Arctiinae,Cisthene_sp_870,EcEs-Lep-00165,1.53,5.92,0.26,6.95,27.21,1.77,144,30,,,,
Erebidae: Arctiinae,Cisthene_sp_870,EcEs-Lep-00195,NA,5.03,NA,3.19,13.19,0.77,156,34,,,,
Erebidae: Arctiinae,Cisthene_sp_870,EcEs-Lep-00256,2.79,6.56,0.43,7.19,30.06,1.72,124,28,,,,
Erebidae: Arctiinae,Cisthene_tessellata_1054,EcEs-Lep-00253,3.29,4.78,0.69,8.27,37.81,1.81,116,56,,,,
Erebidae: Arctiinae,Clemensia_sp_892,EcEs-Lep-00561,NA,8.28,NA,9.4,53.4,1.66,170,38,,,,
Erebidae: Arctiinae,Cloesia_nr_digna_1189,EcEs-Lep-00045,7.7,11.38,0.68,14.66,104.63,2.05,44,19,,,,
Erebidae: Arctiinae,Cloesia_nr_digna_1189,EcEs-Lep-00551,NA,11.15,NA,14.66,98.65,2.18,53,36,,,,
Erebidae: Arctiinae,Cloesia_nr_digna_1189,EcEs-Lep-00553,NA,10.39,NA,14.4,88.36,2.35,46,26,,,,
Erebidae: Arctiinae,Cloesia_nr_digna_1189,EcEs-Lep-01189,NA,10.14,NA,11.46,104.7,1.25,136,40,,,,
Sphingidae,Cocytius_duponchel_109,EcEs-Lep-00982,83.54,53.47,1.56,52.98,1013.84,2.77,60,48,,,,
Erebidae: Arctiinae,Coreura_simsoni_417,EcEs-Lep-00265,11.09,18.82,0.59,27.52,474.57,1.6,40,34,,,,
Erebidae: Arctiinae,Correbia_nr_minima_778,EcEs-Lep-00226,5.05,10.31,0.49,11.29,67.62,1.88,84,50,,,,
Erebidae: Arctiinae,Correbia_nr_minima_778,EcEs-Lep-09161,NA,10.58,NA,11.16,62.1,2.01,72,42,,,,
Erebidae: Arctiinae,Correbidia_calopteridia_2004,EcEs-Lep-00015,6.52,13.35,0.49,14.1,102.99,1.93,90,44,,,,
Erebidae: Arctiinae,Correbidia_calopteridia_2004,EcEs-Lep-00211,6.08,13.38,0.45,14.9,104.81,2.12,120,68,,,,
Erebidae: Arctiinae,Correbidia_calopteridia_2004,EcEs-Lep-00219,NA,12.84,NA,13.88,91.29,2.11,115,60,,,,
Erebidae: Arctiinae,Correbidia_calopteridia_2004,EcEs-Lep-00221,5.44,11.15,0.49,13.85,93.24,2.06,156,46,,,,
Erebidae: Arctiinae,Correbidia_calopteridia_2004,EcEs-Lep-00843,NA,10.34,NA,11.17,62.81,1.99,124,60,,,,
Erebidae: Arctiinae,Correbidia_cf_costinitata_782,EcEs-Lep-01166,NA,13.25,NA,14.51,102.44,2.06,90,59,,,,
Erebidae: Arctiinae,Correbidia_cf_costinitata_782,EcEs-Lep-01308,6.21,12.77,0.49,16.68,141.19,1.97,107,70,,,,
