Species,Family,Genus,Species_name,Lifeform-Habit,log_density-factor,Length_Av[mm],Width_Av[mm],FlowerShape,FlowerColour1,FlowerColour2,FlowerSymmetry,PollinationSyndrome,MainResource,Idv_total
M0405,Melastomataceae,Miconia,Miconia_goniostigma,SubshrubOrShrub,10,2.3,2.3,Cyanthiform,Pink,Yellow,Actinomorphic,Melittophil,Pollen,5
M0406,Ericaceae,Sphyrospermum,Sphyrospermum_cf._Buxifolium,SubshrubOrShrub,10,3.9,0.7,Campanulate,Pink,White,Actinomorphic,Ornithophil,Nectar,3
M0407,Gesneriaceae,Paradrymonia,cf._Paradrymonia_sp._1,Epiphyte,10,47.9,16.4,Funnelform,Red,Yellow,Zygomorphic,Melittophil,Nectar,5
M0408,NA,NA,NA,NA,10,6,1.3,Funnelform,White,NA,Actinomorphic,Melittophil,Nectar,2
M0409,NA,NA,NA,NA,10,47.2,3.6,Tubulate,Red,NA,Zygomorphic,Ornithophil,Nectar,1
M0410,Melastomataceae,Blakea,cf._Blakea_sp._4,NA,1000,NA,NA,Rotate,NA,White,Zygomorphic,NA,NA,1
M0411,Rubiaceae,Palicourea,cf._Palicourea_sp._2,Tree,100,22.5,2,Tubulate,White,NA,Actinomorphic,NA,Nectar,1
M0412,NA,NA,NA,NA,100,5.9,1.9,Urceolate,Pink,NA,Actinomorphic,NA,Nectar,1
M0413,NA,NA,NA,NA,100,NA,NA,NA,NA,Yellow,NA,NA,NA,1
M0414,Arecaceae,Geonoma,cf._Geonoma_sp._1,Tree,10000,0? NA,2.3,Spike,White,NA,Actinomorphic,SDI,Pollen,3
M0415,Araceae,Anthurium,Anthurium_andraeanum,ScramblingOrEpyphticShrub,100,NA,NA,Spike,Red,Yellow,Incomplete,SDI,Nectar,2
M0416,Melastomataceae,Miconia,Miconia_sp.,Tree,100,2.7,1.4,Cyanthiform,White,Yellow,Zygomorphic,Melittophil,Pollen,10
M0417,Gesneriaceae,NA,NA,NA,10,15,3.3,Tubulate,Orange,NA,Zygomorphic,Ornithophil,Nectar,1
M0418,Lythraceae,Cuphea,cf._Cuphea_sp._4,HerbGeneral,10,NA,NA,Tubulate,Purple,White,Zygomorphic,Melittophil,Nectar,1
M0419,Rubiaceae,Palicourea,Palicourea_cf._Pseudaxillaris,Tree,1000,6.4,1.6,Tubulate,White,Yellow,Actinomorphic,Ornithophil,Nectar,2
M0420,Campanulaceae,Burmeistera,Burmeistera_sp._3,SubshrubOrShrub,10,NA,NA,Campanulate,Green,White,Zygomorphic,Chiropterophil,Nectar,2
M0421,Melastomataceae,NA,NA,NA,100,NA,NA,Cyanthiform,White,Yellow,Zygomorphic,Melittophil,Pollen,4
M0422,Araceae,Anthurium,Anthurium_cf._Carinatum,SubshrubOrShrub,100,NA,NA,Spike,White,NA,Incomplete,SDI,Pollen,1
