Species,Family,Genus,Species_name,Lifeform-Habit,log_density-factor,Length_Av[mm],Width_Av[mm],FlowerShape,FlowerColour1,FlowerColour2,FlowerSymmetry,PollinationSyndrome,MainResource,Idv_total
M0268,Amaryllidaceae,Urceolina,Urceolina_astrophiala,Geophyte,1,25.7,2,Coronate,White,Yellow,Actinomorphic,Melittophil,Nectar,1
M0269,Gesneriaceae,Cremosperma,Cremosperma_aff._Nobile,SubshrubOrShrub,1,NA,NA,Crateriform,White,Yellow,Zygomorphic,Melittophil,Nectar,1
M0270,cf. Convolvulaceae,NA,NA,NA,100,15.4,3,Funnelform,White,NA,Actinomorphic,Melittophil,Nectar,2
M0271,Ericaceae,Macleania,cf._Macleania_sp._1,EpiphyticShrub,100,20.6,3.4,Tubulate,Pink,NA,Actinomorphic,Ornithophil,Nectar,1
M0272,NA,NA,NA,NA,10000,5.9,5.7,NA,Red,Green,NA,NA,NA,2
M0273,Lecythidaceae,Eschweilera,Eschweilera_cf._Ovata,Tree,1000,0,13.7,Brushform,White,Yellow,Zygomorphic,Melittophil,"Pollen, Nectar",5
M0274,Ericaceae,Macleania,Macleania_sp._2,EpiphyticShrub,10,22.1,4.1,Tubulate,Red,NA,Actinomorphic,Ornithophil,Nectar,24
M0275,Fabaceae,Brownea,Brownea_macrophylla,Tree,1000,26.6,3.2,Brushform,Red,Orange,Zygomorphic,Ornithophil,Nectar,4
M0276,Cucurbitaceae,Gurania,Gurania_cf._Pedata,Climber,10,19.2,4.3,Tubulate,Orange,Yellow,Actinomorphic,Ornithophil,Nectar,1
M0277,NA,NA,NA,NA,10,1.2,3,Rotate,White,Purple,Actinomorphic,Melittophil,Nectar,5
M0278,NA,NA,NA,NA,10,NA,NA,NA,Red,Green,NA,NA,NA,1
M0279,Gesneriaceae,Drymonia,Drymonia_sp._1,Epiphyte,10,28.5,10,Tubulate,White,Red,Zygomorphic,Melittophil,Nectar,6
M0280,Arecaceae,Geonoma,Geonoma_cf._Tenuissima,SubshrubOrShrub,1000,1.6,0.9,Cyanthiform,Orange,NA,Actinomorphic,Melittophil,Pollen,1
M0281,Meliaceae,Trichilia,Trichilia_cf._Pallida,Tree,10000,6.3,2.7,Rotate,White,Green,Actinomorphic,Phalenophil,Nectar,1
M0282,NA,NA,NA,NA,100,NA,9.9,NA,White,NA,NA,NA,NA,1
M0283,Bignoniaceae,NA,NA,NA,100,49.4,15.2,Funnelform,Pink,White,Zygomorphic,Melittophil,Nectar,2
M0284,NA,NA,NA,NA,100,51.4,10.3,Tubulate,NA,Green,Actinomorphic,Ornithophil,Nectar,1
M0285,Clusiaceae,Symphonia,Symphonia_globulifera,Tree,1000,10.2,0.7,Tubulate,Red,NA,Actinomorphic,Ornithophil,Nectar,1
M0286,Ericaceae,Anthopterus,cf._Anthopterus_cuneatus,SubshrubOrShrub,100,8.2,2.3,Tubulate,Orange,White,Actinomorphic,Ornithophil,Nectar,4
M0287,Melastomataceae,Triolena,Triolena_cf._Barbeyana,SubshrubOrShrub,10,2.7,1.1,Cyanthiform,Pink,White,Zygomorphic,Melittophil,Pollen,4
M0288,Cucurbitaceae,Psiguria,Psiguria_cf._Triphylla,ScramblingOrEpyphticShrub,100,13.9,3.5,Tubulate,Green,Red,Actinomorphic,Ornithophil,Nectar,2
M0289,Gesneriaceae,Glossoloma,Glossoloma_sprucei,SubshrubOrShrub,10,49.9,9.5,Tubulate,Yellow,Red,Zygomorphic,Ornithophil,Nectar,8
M0290,Gesneriaceae,NA,NA,NA,10,33,9.2,Funnelform,White,NA,Zygomorphic,Melittophil,Nectar,1
M0291,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,1
M0292,NA,NA,NA,NA,100,NA,NA,NA,NA,Pink,NA,NA,NA,1
M0293,NA,NA,NA,NA,10,12,0.7,NA,Yellow,NA,NA,Ornithophil,Nectar,1
M0294,Gesneriaceae,Columnea,Columnea_angustata,Epiphyte,10,30.1,5,Tubulate,Yellow,White,Zygomorphic,Ornithophil,Nectar,11
M0295,cf. Gesneriaceae,NA,NA,SubshrubOrShrub,10,9,2,Tubulate,White,NA,Zygomorphic,Ornithophil,Nectar,3
M0296,Melastomataceae,Miconia,Miconia_sp._9,NA,10,4.1,4.1,Cyanthiform,White,Yellow,Zygomorphic,Melittophil,Pollen,1
M0297,Araceae,Anthurium,Anthurium_cf._Dolichostachyum,Epiphyte,1000,0,0.1,Spike,White,NA,Incomplete,SDI,Pollen,1
M0298,Gesneriaceae,NA,NA,NA,10,13.8,0.8,Tubulate,NA,Brown,NA,Ornithophil,Nectar,1
M0299,Gesneriaceae,Glossoloma,Glossoloma_aff._Panamese,SubshrubOrShrub,10,35.1,7.2,Tubulate,Orange,NA,Zygomorphic,Ornithophil,Nectar,5
M0300,cf. Gesneriaceae,Columnea,cf._Columnea_sp.,NA,10,26.7,4.4,Tubulate,Red,Yellow,Zygomorphic,Ornithophil,Nectar,1
M0301,Melastomataceae,NA,NA,HerbGeneral,1,7.4,2,Cyanthiform,Pink,NA,Zygomorphic,Melittophil,Pollen,1
M0302,Bromeliaceae,Guzmania,Guzmania_conglomerata,Epiphyte,10,NA,NA,Tubulate,White,Red,Actinomorphic,Ornithophil,Nectar,4
M0303,Gesneriaceae,Drymonia,Drymonia_turrialvae,SubshrubOrShrub,1,43.7,13.4,Campanulate,White,Pink,Zygomorphic,Melittophil,Nectar,3
M0304,Gesneriaceae,NA,NA,NA,10,39.2,9.5,Tubulate,White,NA,Zygomorphic,Ornithophil,Nectar,6
M0305,Bignoniaceae,Jacaranda,Jacaranda_copaia,Tree,1000,32.2,12.6,Funnelform,Purple,White,Zygomorphic,Melittophil,Nectar,8
M0306,Annonaceae,Guatteria,Guatteria_pittieri,Tree,100,0,5.6,Rotate,Yellow,Green,Actinomorphic,Cantharophil,FleshyParts,1
M0307,Orchidaceae,Pleurothallis,Pleurothallis_dibolia,Epiphyte,10,0,1.5,OrchidFlower,Yellow,NA,Zygomorphic,SDI,Nectar,6
M0308,Linderniaceae,Vandellia,Vandellia_diffusa,Annual,1,4.6,2,Labiate,White,NA,Zygomorphic,Melittophil,Nectar,1
M0309,NA,NA,NA,NA,100,2.7,2.4,Crateriform,White,NA,NA,NA,NA,1
M0310,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,1
M0312,Lauraceae,Ocotea,Ocotea_sp._1,Tree,10000,0,1.9,Crateriform,Yellow,White,Actinomorphic,SDI,Nectar,2
M0313,Ericaceae,Sphyrospermum,Sphyrospermum_campanulatum,Epiphyte,100,6.4,4.5,Campanulate,Red,NA,Actinomorphic,Ornithophil,Nectar,3
M0314,Melastomataceae,Miconia,Miconia_sp._10,NA,10,2.8,1.6,Cyanthiform,Purple,Red,Zygomorphic,Melittophil,Pollen,15
M0315,Melastomataceae,Aciotis,cf._Aciotis_sp._5,HerbGeneral,10,2.1,1.1,Cyanthiform,White,Purple,Zygomorphic,Melittophil,Pollen,28
M0316,NA,NA,NA,HerbGeneral,10,2.2,1,Labiate,White,NA,Zygomorphic,Melittophil,Nectar,9
M0317,Lamiaceae,Torenia,Torenia_crustacea,Annual,1,4.9,1.7,Funnelform,Purple,White,Zygomorphic,Melittophil,Nectar,117
M0318,Lythraceae,Cuphea,Cuphea_sp._3,HerbGeneral,10,4.7,1.5,Tubulate,Pink,Purple,Zygomorphic,Melittophil,Nectar,104
M0319,Acanthaceae,Ruellia,Ruellia_blechum,SubshrubOrShrub,10,11.5,1.2,Funnelform,White,PNA,Actinomorphic,Melittophil,Nectar,23
M0320,Melastomataceae,Miconia,Miconia_sp._11,SubshrubOrShrub,100,NA,NA,Cyanthiform,Red,NA,Zygomorphic,Melittophil,Pollen,3
M0321,Solanaceae,Solanum,c._Solanum_sp._3,SubshrubOrShrub,10,0,1.8,Rotate,White,Yellow,Actinomorphic,Melittophil,Pollen,6
M0322,Solanaceae,Solanum,c._Solanum_sp._4,SubshrubOrShrub,10,0,2.1,Rotate,White,Yellow,Actinomorphic,Melittophil,Pollen,1
M0323,Commelinaceae,Murdannia,Murdannia_nudiflora,Annual,10,NA,NA,Rotate,Purple,White,Zygomorphic,Melittophil,Pollen,41
M0324,Bignoniaceae,NA,NA,NA,1000,22.5,10.5,Funnelform,Purple,White,Zygomorphic,Melittophil,Nectar,2
M0325,NA,NA,NA,NA,1000,0,19.9,Brushform,White,NA,Actinomorphic,Melittophil,Resin,6
M0326,NA,NA,NA,NA,1000,0,10.3,NA,NA,NA,NA,NA,NA,2
M0327,Melastomataceae,Triolena,Triolena_sp._2,SubshrubOrShrub,100,2.9,2.6,Cyanthiform,Purple,White,Zygomorphic,Melittophil,Pollen,14
M0328,Melastomataceae,Miconia,cf._Miconia_sp._12,Tree,10000,0.9,2.4,Cyanthiform,White,NA,Zygomorphic,Melittophil,Pollen,1
M0330,Rubiaceae,Chomelia,Chomelia_tenuiflora,SubshrubOrShrub,1000,20.6,1.1,Tubulate,White,NA,Actinomorphic,Sphingophil,Nectar,1
M0331,cf. Melastomataceae,Miconia,cf._Miconia_sp._13,NA,10000,2.2,1.9,Cyanthiform,White,NA,Zygomorphic,Melittophil,Pollen,1
M0332,NA,NA,NA,SubshrubOrShrub,100,5.9,0.9,Urceolate,White,NA,Actinomorphic,NA,NA,3
M0333,Orchidaceae,NA,NA,Epiphyte,1,0,0.6,OrchidFlower,Yellow,Green,NA,NA,NA,1
M0334,NA,NA,NA,NA,1000,57.5,20.2,Funnelform,Yellow,NA,Zygomorphic,Melittophil,Nectar,1
M0335,Clusiaceae,NA,NA,NA,1,0,3.4,Rotate,White,NA,Actinomorphic,NA,NA,1
M0336,Piperaceae,Piper,Piper_sp._3,SubshrubOrShrub,1000,0,0.1,Spike,White,NA,Incomplete,SDI,Pollen,3
M0337,Rubiaceae,Amphidasya,Amphidasya_cf._Amethystina,SubshrubOrShrub,10,7.5,4,Funnelform,Blue,White,Actinomorphic,Melittophil,Nectar,1
M0338 ,Melastomataceae,Miconia,cf._Miconia_cooperi,SubshrubOrShrub,100,2.4,1.9,Cyanthiform,White,Pink,Zygomorphic,Melittophil,Pollen,2
M0338a,Melastomataceae,Miconia,Miconia_trichocalyx,ScramblingOrEpyphticShrub,10,4.2,1.8,Cyanthiform,White,Red,Zygomorphic,Melittophil,Pollen,7
M0339,NA,NA,NA,NA,100,0,13.3,Rotate,Yellow,NA,Actinomorphic,NA,NA,1
M0340,NA,NA,NA,NA,1000,3,4.8,Cyanthiform,White,Yellow,Zygomorphic,Melittophil,Pollen,2
M0342,Annonaceae,Guatteria,cf._Guatteria_microcarpa,Tree,1000,NA,NA,NA,Green,NA,NA,NA,NA,1
M0343,NA,NA,NA,NA,100,NA,9.9,NA,Pink,NA,NA,NA,NA,1
