group,species,individual,number,trait,measure
Euglossini,Euglossa tridentata,M-0133,3191,proboscisLength,10.5
Euglossini,Euglossa tridentata,M-0134,3195,proboscisLength,10.3
Euglossini,Euglossa tridentata,M-0138,3199,proboscisLength,10.6
Euglossini,Euglossa tridentata,M-0252,3275,proboscisLength,10.5
Euglossini,Euglossa tridentata,M-0281,3291,proboscisLength,10.8
Euglossini,Euglossa tridentata,M-0283,3299,proboscisLength,9.5
Euglossini,Euglossa tridentata,M-0284,3303,proboscisLength,9.8
Euglossini,Euglossa tridentata,M-0285,3307,proboscisLength,10.3
Euglossini,Euglossa tridentata,M-0301,3311,proboscisLength,10.9
Euglossini,Euglossa tridentata,M-0309,3319,proboscisLength,10.6
Euglossini,Euglossa tridentata,M-0371,3343,proboscisLength,8.9
Euglossini,Euglossa tridentata,M-1037,3611,proboscisLength,15.1
Euglossini,Euglossa tridentata,B1128,340,wingLength,8.1
Euglossini,Euglossa tridentata,B1131,180,wingLength,8.4
Euglossini,Euglossa tridentata,B1132,184,wingLength,8.5
Euglossini,Euglossa tridentata,B1133,188,wingLength,8.1
Euglossini,Euglossa tridentata,B1134,192,wingLength,9.6
Euglossini,Euglossa tridentata,B1161,156,wingLength,9.2
Euglossini,Euglossa tridentata,J-0598,5361,wingLength,8.4
Euglossini,Euglossa tridentata,M-0046,3001,wingLength,8.8
Euglossini,Euglossa tridentata,M-0047,3005,wingLength,8.4
Euglossini,Euglossa tridentata,M-0048,3009,wingLength,8.2
Euglossini,Euglossa tridentata,M-0086,3049,wingLength,8.3
Euglossini,Euglossa tridentata,M-0087,3053,wingLength,8.3
Euglossini,Euglossa tridentata,M-0088,3057,wingLength,8.7
Euglossini,Euglossa tridentata,M-0090,3065,wingLength,8.2
Euglossini,Euglossa tridentata,M-0100,3085,wingLength,9
Euglossini,Euglossa tridentata,M-0109,3121,wingLength,8.8
Euglossini,Euglossa tridentata,M-0133,3189,wingLength,8.3
Euglossini,Euglossa tridentata,M-0134,3193,wingLength,8.5
Euglossini,Euglossa tridentata,M-0138,3197,wingLength,8.8
Euglossini,Euglossa tridentata,M-0252,3273,wingLength,9.3
Euglossini,Euglossa tridentata,M-0281,3289,wingLength,8.9
Euglossini,Euglossa tridentata,M-0283,3297,wingLength,8.8
Euglossini,Euglossa tridentata,M-0284,3301,wingLength,8.3
Euglossini,Euglossa tridentata,M-0285,3305,wingLength,8.5
Euglossini,Euglossa tridentata,M-0301,3309,wingLength,9.1
Euglossini,Euglossa tridentata,M-0309,3317,wingLength,8.7
Euglossini,Euglossa tridentata,M-0371,3341,wingLength,8.7
Euglossini,Euglossa tridentata,M-1037,3609,wingLength,9.2
Euglossini,Euglossa tridentata,J-0356,5222,wingWidth,2.47
Euglossini,Euglossa tridentata,J-0357,5226,wingWidth,2.69
Euglossini,Euglossa tridentata,J-0400,5230,wingWidth,2.6
Euglossini,Euglossa tridentata,J-0401,5234,wingWidth,2.65
Euglossini,Euglossa tridentata,J-0402,5238,wingWidth,2.41
Euglossini,Euglossa tridentata,J-0586,5214,wingWidth,2.91
Euglossini,Euglossa tridentata,J-0598,5362,wingWidth,2.55
Euglossini,Euglossa tridentata,J-0831,5274,wingWidth,2.93
Euglossini,Euglossa tridentata,J-0882,5246,wingWidth,2.86
Euglossini,Euglossa tridentata,J-1291,5242,wingWidth,2.67
Euglossini,Euglossa tridentata,J-1674,5262,wingWidth,2.75
Euglossini,Euglossa trinotata,B1301,4502,intertegularDistance,3.4
Euglossini,Euglossa trinotata,J-0605,5899,intertegularDistance,2.87
Euglossini,Euglossa trinotata,J-0605,6209,intertegularDistance,2.7
Euglossini,Euglossa trinotata,J-1196,5886,intertegularDistance,2.83
Euglossini,Euglossa trinotata,J-1204,5854,intertegularDistance,3.34
Euglossini,Euglossa trinotata,J-1205,5858,intertegularDistance,3.11
Euglossini,Euglossa trinotata,J-1206,5862,intertegularDistance,3.08
Euglossini,Euglossa trinotata,J-1207,5866,intertegularDistance,3.1
Euglossini,Euglossa trinotata,J-1220,5842,intertegularDistance,2.71
Euglossini,Euglossa trinotata,J-1221,5846,intertegularDistance,2.65
Euglossini,Euglossa trinotata,J-1227,5870,intertegularDistance,2.99
Euglossini,Euglossa trinotata,J-1228,5874,intertegularDistance,3.14
Euglossini,Euglossa trinotata,J-1229,5878,intertegularDistance,2.65
Euglossini,Euglossa trinotata,J-1230,5882,intertegularDistance,3.17
Euglossini,Euglossa trinotata,J-1247,6109,intertegularDistance,3.13
Euglossini,Euglossa trinotata,J-1248,6114,intertegularDistance,2.95
Euglossini,Euglossa trinotata,M-0967,4494,intertegularDistance,3.4
Euglossini,Euglossa trinotata,M-0968,4498,intertegularDistance,3.4
Euglossini,Euglossa trinotata,B1301,4503,proboscisLength,15.8
Euglossini,Euglossa trinotata,J-0605,6212,proboscisLength,20.28
Euglossini,Euglossa trinotata,J-1247,6112,proboscisLength,21.01
Euglossini,Euglossa trinotata,J-1248,6117,proboscisLength,19.98
Euglossini,Euglossa trinotata,M-0967,4495,proboscisLength,17.2
Euglossini,Euglossa trinotata,M-0968,4499,proboscisLength,15.5
Euglossini,Euglossa trinotata,B1301,4501,wingLength,8.7
Euglossini,Euglossa trinotata,J-0605,5900,wingLength,9.04
Euglossini,Euglossa trinotata,J-0605,6210,wingLength,9.2
Euglossini,Euglossa trinotata,J-1196,5887,wingLength,8.58
Euglossini,Euglossa trinotata,J-1204,5855,wingLength,9.59
Euglossini,Euglossa trinotata,J-1205,5859,wingLength,9.35
Euglossini,Euglossa trinotata,J-1206,5863,wingLength,9.29
Euglossini,Euglossa trinotata,J-1207,5867,wingLength,8.75
Euglossini,Euglossa trinotata,J-1220,5843,wingLength,9.36
Euglossini,Euglossa trinotata,J-1221,5847,wingLength,9.05
Euglossini,Euglossa trinotata,J-1227,5871,wingLength,9.41
Euglossini,Euglossa trinotata,J-1228,5875,wingLength,8.78
Euglossini,Euglossa trinotata,J-1229,5879,wingLength,9.12
Euglossini,Euglossa trinotata,J-1230,5883,wingLength,8.75
Euglossini,Euglossa trinotata,J-1247,6110,wingLength,9.64
Euglossini,Euglossa trinotata,M-0967,4493,wingLength,9
Euglossini,Euglossa trinotata,M-0968,4497,wingLength,8.7
Euglossini,Euglossa trinotata,J-0605,5901,wingWidth,2.7
Euglossini,Euglossa trinotata,J-0605,6211,wingWidth,2.5
Euglossini,Euglossa trinotata,J-1196,5888,wingWidth,2.56
Euglossini,Euglossa trinotata,J-1204,5856,wingWidth,2.92
Euglossini,Euglossa trinotata,J-1205,5860,wingWidth,2.88
Euglossini,Euglossa trinotata,J-1206,5864,wingWidth,2.86
Euglossini,Euglossa trinotata,J-1207,5868,wingWidth,2.85
Euglossini,Euglossa trinotata,J-1220,5844,wingWidth,2.67
Euglossini,Euglossa trinotata,J-1221,5848,wingWidth,2.85
Euglossini,Euglossa trinotata,J-1227,5872,wingWidth,2.68
Euglossini,Euglossa trinotata,J-1228,5876,wingWidth,2.86
Euglossini,Euglossa trinotata,J-1229,5880,wingWidth,2.69
Euglossini,Euglossa trinotata,J-1230,5884,wingWidth,2.69
Euglossini,Euglossa trinotata,J-1247,6111,wingWidth,2.69
Euglossini,Euglossa turbinifex,B1125,301,intertegularDistance,3.4
Euglossini,Euglossa turbinifex,B1126,305,intertegularDistance,3.5
Euglossini,Euglossa turbinifex,B1127,309,intertegularDistance,3.6
Euglossini,Euglossa turbinifex,B1327,385,intertegularDistance,3.2
Euglossini,Euglossa turbinifex,B1327,4506,intertegularDistance,3.1
Euglossini,Euglossa turbinifex,J-0283,6259,intertegularDistance,2.59
Euglossini,Euglossa turbinifex,J-0315,6084,intertegularDistance,2.73
Euglossini,Euglossa turbinifex,J-0367,6219,intertegularDistance,2.86
Euglossini,Euglossa turbinifex,J-0468,6089,intertegularDistance,3.15
Euglossini,Euglossa turbinifex,J-0532,5959,intertegularDistance,2.85
Euglossini,Euglossa turbinifex,J-0846,6264,intertegularDistance,2.7
Euglossini,Euglossa turbinifex,J-0923,5934,intertegularDistance,2.83
Euglossini,Euglossa turbinifex,J-1184,5826,intertegularDistance,2.85
Euglossini,Euglossa turbinifex,J-1240,6079,intertegularDistance,2.54
Euglossini,Euglossa turbinifex,J-1240,6224,intertegularDistance,2.97
Euglossini,Euglossa turbinifex,J-1382b,5710,intertegularDistance,2.75
Euglossini,Euglossa turbinifex,J-1614,5949,intertegularDistance,2.96
Euglossini,Euglossa turbinifex,M-0205,3234,intertegularDistance,2.6
Euglossini,Euglossa turbinifex,M-0319,3322,intertegularDistance,2.8
Euglossini,Euglossa turbinifex,M-0320,3326,intertegularDistance,2.6
Euglossini,Euglossa turbinifex,M-0518,3398,intertegularDistance,2.8
Euglossini,Euglossa turbinifex,M-1042,4238,intertegularDistance,3.2
Euglossini,Euglossa turbinifex,M-1575,4242,intertegularDistance,3
Euglossini,Euglossa turbinifex,M-C-2049,4274,intertegularDistance,2.9
Euglossini,Euglossa turbinifex,B1125,299,proboscisLength,18.2
Euglossini,Euglossa turbinifex,B1126,303,proboscisLength,18.2
Euglossini,Euglossa turbinifex,B1127,307,proboscisLength,20
Euglossini,Euglossa turbinifex,B1327,383,proboscisLength,17
Euglossini,Euglossa turbinifex,B1327,4507,proboscisLength,11.1
Euglossini,Euglossa turbinifex,J-0283,6262,proboscisLength,16.5
Euglossini,Euglossa turbinifex,J-0315,6087,proboscisLength,15.33
Euglossini,Euglossa turbinifex,J-0367,6222,proboscisLength,13.58
Euglossini,Euglossa turbinifex,J-0468,6092,proboscisLength,15.97
Euglossini,Euglossa turbinifex,J-0532,5962,proboscisLength,16.64
Euglossini,Euglossa turbinifex,J-0846,6267,proboscisLength,16.51
Euglossini,Euglossa turbinifex,J-0923,5937,proboscisLength,16.64
Euglossini,Euglossa turbinifex,J-1240,6082,proboscisLength,15.3
Euglossini,Euglossa turbinifex,J-1240,6227,proboscisLength,16.13
Euglossini,Euglossa turbinifex,J-1614,5952,proboscisLength,16.8
Euglossini,Euglossa turbinifex,M-0205,3235,proboscisLength,16.6
Euglossini,Euglossa turbinifex,M-0319,3323,proboscisLength,16.2
Euglossini,Euglossa turbinifex,M-0320,3327,proboscisLength,16.7
Euglossini,Euglossa turbinifex,M-0518,3399,proboscisLength,16.7
Euglossini,Euglossa turbinifex,M-1042,4239,proboscisLength,12.4
Euglossini,Euglossa turbinifex,M-1575,4243,proboscisLength,12.2
Euglossini,Euglossa turbinifex,M-C-2049,4275,proboscisLength,14.6
Euglossini,Euglossa turbinifex,B1125,300,wingLength,8.6
Euglossini,Euglossa turbinifex,B1126,304,wingLength,8.6
Euglossini,Euglossa turbinifex,B1127,308,wingLength,8.9
Euglossini,Euglossa turbinifex,B1327,384,wingLength,8.8
Euglossini,Euglossa turbinifex,B1327,4505,wingLength,8.5
Euglossini,Euglossa turbinifex,J-0283,6260,wingLength,8.22
Euglossini,Euglossa turbinifex,J-0315,6085,wingLength,9.06
Euglossini,Euglossa turbinifex,J-0367,6220,wingLength,8.59
Euglossini,Euglossa turbinifex,J-0468,6090,wingLength,8.98
Euglossini,Euglossa turbinifex,J-0532,5960,wingLength,9.12
Euglossini,Euglossa turbinifex,J-0846,6265,wingLength,8.79
Euglossini,Euglossa turbinifex,J-0923,5935,wingLength,9.06
Euglossini,Euglossa turbinifex,J-1184,5827,wingLength,9.14
Euglossini,Euglossa turbinifex,J-1240,6080,wingLength,9.13
Euglossini,Euglossa turbinifex,J-1240,6225,wingLength,9.29
Euglossini,Euglossa turbinifex,J-1382b,5711,wingLength,9.6
Euglossini,Euglossa turbinifex,J-1614,5950,wingLength,9.25
Euglossini,Euglossa turbinifex,M-0205,3233,wingLength,9
Euglossini,Euglossa turbinifex,M-0319,3321,wingLength,8.8
Euglossini,Euglossa turbinifex,M-0320,3325,wingLength,8.9
Euglossini,Euglossa turbinifex,M-0518,3397,wingLength,8.5
Euglossini,Euglossa turbinifex,M-1042,4237,wingLength,8.6
Euglossini,Euglossa turbinifex,M-1575,4241,wingLength,8
Euglossini,Euglossa turbinifex,M-C-2049,4273,wingLength,7.9
Euglossini,Euglossa turbinifex,J-0241,5631,wingWidth,2.71
Euglossini,Euglossa turbinifex,J-0243,5639,wingWidth,2.78
Euglossini,Euglossa turbinifex,J-0283,6261,wingWidth,2.82
Euglossini,Euglossa turbinifex,J-0315,6086,wingWidth,2.7
Euglossini,Euglossa turbinifex,J-0367,6221,wingWidth,2.7
Euglossini,Euglossa turbinifex,J-0468,6091,wingWidth,2.64
Euglossini,Euglossa turbinifex,J-0532,5961,wingWidth,2.76
Euglossini,Euglossa turbinifex,J-0846,6266,wingWidth,2.64
Euglossini,Euglossa turbinifex,J-0923,5936,wingWidth,2.75
Euglossini,Euglossa turbinifex,J-1184,5828,wingWidth,2.24
Euglossini,Euglossa turbinifex,J-1240,6081,wingWidth,2.64
Euglossini,Euglossa turbinifex,J-1240,6226,wingWidth,2.82
Euglossini,Euglossa turbinifex,J-1382b,5712,wingWidth,2.68
Euglossini,Euglossa turbinifex,J-1614,5951,wingWidth,2.74
Euglossini,Euglossa variabilis,J-0022,5513,intertegularDistance,2.67
Euglossini,Euglossa variabilis,J-0047,5549,intertegularDistance,2.92
Euglossini,Euglossa variabilis,J-0067,5505,intertegularDistance,3.1
Euglossini,Euglossa variabilis,J-0074,5666,intertegularDistance,3
Euglossini,Euglossa variabilis,J-0179,5974,intertegularDistance,2.92
Euglossini,Euglossa variabilis,J-0230,5436,intertegularDistance,3.11
Euglossini,Euglossa variabilis,J-0231,5440,intertegularDistance,3
Euglossini,Euglossa variabilis,J-0888,5954,intertegularDistance,3.03
Euglossini,Euglossa variabilis,J-0889,5929,intertegularDistance,2.7
Euglossini,Euglossa variabilis,J-1164,5645,intertegularDistance,2.98
Euglossini,Euglossa variabilis,J-1189,6059,intertegularDistance,2.95
Euglossini,Euglossa variabilis,J-1514,6064,intertegularDistance,2.7
Euglossini,Euglossa variabilis,J-1617,6094,intertegularDistance,2.96
Euglossini,Euglossa variabilis,M-0074,3022,intertegularDistance,3.5
Euglossini,Euglossa variabilis,M-0112,3134,intertegularDistance,2.9
Euglossini,Euglossa variabilis,M-0113,3138,intertegularDistance,3.1
Euglossini,Euglossa variabilis,M-1272,4198,intertegularDistance,3.2
Euglossini,Euglossa variabilis,J-0179,5977,proboscisLength,12.5
Euglossini,Euglossa variabilis,J-0888,5957,proboscisLength,13.8
Euglossini,Euglossa variabilis,J-0889,5932,proboscisLength,12.76
Euglossini,Euglossa variabilis,J-1189,6062,proboscisLength,9.27
Euglossini,Euglossa variabilis,J-1514,6067,proboscisLength,9.55
Euglossini,Euglossa variabilis,J-1617,6097,proboscisLength,11.83
Euglossini,Euglossa variabilis,M-0074,3023,proboscisLength,10.6
Euglossini,Euglossa variabilis,M-0112,3135,proboscisLength,9.4
Euglossini,Euglossa variabilis,M-0113,3139,proboscisLength,9.6
Euglossini,Euglossa variabilis,M-1272,4199,proboscisLength,7.6
Euglossini,Euglossa variabilis,J-0022,5514,wingLength,7.71
Euglossini,Euglossa variabilis,J-0047,5550,wingLength,7.75
Euglossini,Euglossa variabilis,J-0067,5506,wingLength,8.05
Euglossini,Euglossa variabilis,J-0074,5667,wingLength,7.59
Euglossini,Euglossa variabilis,J-0179,5975,wingLength,7.86
Euglossini,Euglossa variabilis,J-0230,5437,wingLength,7.86
Euglossini,Euglossa variabilis,J-0231,5441,wingLength,7.99
Euglossini,Euglossa variabilis,J-0888,5955,wingLength,8.44
Euglossini,Euglossa variabilis,J-0889,5930,wingLength,7.65
Euglossini,Euglossa variabilis,J-1164,5646,wingLength,7.57
Euglossini,Euglossa variabilis,J-1189,6060,wingLength,7.84
Euglossini,Euglossa variabilis,J-1514,6065,wingLength,8.32
Euglossini,Euglossa variabilis,J-1617,6095,wingLength,8
Euglossini,Euglossa variabilis,M-0074,3021,wingLength,9.1
Euglossini,Euglossa variabilis,M-0112,3133,wingLength,7.7
Euglossini,Euglossa variabilis,M-0113,3137,wingLength,7.9
Euglossini,Euglossa variabilis,M-1272,4197,wingLength,7.4
Euglossini,Euglossa variabilis,J-0022,5515,wingWidth,2.38
Euglossini,Euglossa variabilis,J-0047,5551,wingWidth,2.11
Euglossini,Euglossa variabilis,J-0067,5507,wingWidth,2.24
Euglossini,Euglossa variabilis,J-0074,5668,wingWidth,2.58
Euglossini,Euglossa variabilis,J-0179,5976,wingWidth,2.77
Euglossini,Euglossa variabilis,J-0230,5438,wingWidth,2.43
Euglossini,Euglossa variabilis,J-0231,5442,wingWidth,2.32
Euglossini,Euglossa variabilis,J-0888,5956,wingWidth,2.14
Euglossini,Euglossa variabilis,J-0889,5931,wingWidth,2.5
Euglossini,Euglossa variabilis,J-1164,5647,wingWidth,2.31
Euglossini,Euglossa variabilis,J-1189,6061,wingWidth,2.43
Euglossini,Euglossa variabilis,J-1514,6066,wingWidth,2.43
Euglossini,Euglossa variabilis,J-1617,6096,wingWidth,2.44
Euglossini,Euglossa villosiventris,J-0420,5916,intertegularDistance,3.06
Euglossini,Euglossa villosiventris,M-0626,4510,intertegularDistance,3.2
Euglossini,Euglossa villosiventris,M-0948,3574,intertegularDistance,3.4
Euglossini,Euglossa villosiventris,M-2404,4522,intertegularDistance,3.6
Euglossini,Euglossa villosiventris,M-2405,4518,intertegularDistance,3.4
Euglossini,Euglossa villosiventris,M-C-2254,4514,intertegularDistance,3.5
Euglossini,Euglossa villosiventris,M-0626,4511,proboscisLength,5.7
Euglossini,Euglossa villosiventris,M-0948,3575,proboscisLength,8.6
Euglossini,Euglossa villosiventris,M-2404,4523,proboscisLength,6.5
Euglossini,Euglossa villosiventris,M-2405,4519,proboscisLength,6.4
Euglossini,Euglossa villosiventris,M-C-2254,4515,proboscisLength,5.4
Euglossini,Euglossa villosiventris,J-0420,5917,wingLength,9.58
Euglossini,Euglossa villosiventris,M-0626,4509,wingLength,8.5
Euglossini,Euglossa villosiventris,M-0948,3573,wingLength,8.9
Euglossini,Euglossa villosiventris,M-2404,4521,wingLength,8.7
Euglossini,Euglossa villosiventris,M-2405,4517,wingLength,8.4
Euglossini,Euglossa villosiventris,M-C-2254,4513,wingLength,8.6
Euglossini,Euglossa villosiventris,J-0420,5918,wingWidth,2.72
Euglossini,Eulaema bombiformis,B1153,209,intertegularDistance,7.7
Euglossini,Eulaema bombiformis,B1154,213,intertegularDistance,7
Euglossini,Eulaema bombiformis,B1155,217,intertegularDistance,6.8
Euglossini,Eulaema bombiformis,B1156,221,intertegularDistance,6.9
Euglossini,Eulaema bombiformis,J-0252,6341,intertegularDistance,6.97
Euglossini,Eulaema bombiformis,J-0435,6333,intertegularDistance,6.79
Euglossini,Eulaema bombiformis,J-1154,6337,intertegularDistance,6.58
Euglossini,Eulaema bombiformis,J-1626,6345,intertegularDistance,6.44
Euglossini,Eulaema bombiformis,M-0001,2850,intertegularDistance,7
Euglossini,Eulaema bombiformis,M-0002,2854,intertegularDistance,7.6
Euglossini,Eulaema bombiformis,M-0082,3042,intertegularDistance,6.6
Euglossini,Eulaema bombiformis,M-0498,4526,intertegularDistance,7.1
Euglossini,Eulaema bombiformis,M-0644,3466,intertegularDistance,6.8
Euglossini,Eulaema bombiformis,M-0645,3470,intertegularDistance,7
Euglossini,Eulaema bombiformis,M-0986,4530,intertegularDistance,6.8
Euglossini,Eulaema bombiformis,M-0987,4534,intertegularDistance,6.9
Euglossini,Eulaema bombiformis,M-0988,4538,intertegularDistance,7
Euglossini,Eulaema bombiformis,M-0989,4542,intertegularDistance,7
Euglossini,Eulaema bombiformis,B1153,207,proboscisLength,33.9
Euglossini,Eulaema bombiformis,B1154,211,proboscisLength,32.8
Euglossini,Eulaema bombiformis,B1155,215,proboscisLength,32.3
Euglossini,Eulaema bombiformis,B1156,219,proboscisLength,28.7
Euglossini,Eulaema bombiformis,M-0001,2851,proboscisLength,24.7
Euglossini,Eulaema bombiformis,M-0002,2855,proboscisLength,22.3
Euglossini,Eulaema bombiformis,M-0082,3043,proboscisLength,22.5
Euglossini,Eulaema bombiformis,M-0498,4527,proboscisLength,14.9
Euglossini,Eulaema bombiformis,M-0644,3467,proboscisLength,22.8
Euglossini,Eulaema bombiformis,M-0645,3471,proboscisLength,22.9
Euglossini,Eulaema bombiformis,M-0986,4531,proboscisLength,16.5
Euglossini,Eulaema bombiformis,M-0987,4535,proboscisLength,15.3
Euglossini,Eulaema bombiformis,M-0988,4539,proboscisLength,17
Euglossini,Eulaema bombiformis,M-0989,4543,proboscisLength,16.1
Euglossini,Eulaema bombiformis,B1153,208,wingLength,24
Euglossini,Eulaema bombiformis,B1154,212,wingLength,22.4
Euglossini,Eulaema bombiformis,B1155,216,wingLength,22.5
Euglossini,Eulaema bombiformis,B1156,220,wingLength,22.8
Euglossini,Eulaema bombiformis,J-0252,6342,wingLength,23.92
Euglossini,Eulaema bombiformis,J-0435,6334,wingLength,23.54
Euglossini,Eulaema bombiformis,J-1154,6338,wingLength,23.3
Euglossini,Eulaema bombiformis,J-1626,6346,wingLength,23.01
Euglossini,Eulaema bombiformis,M-0001,2849,wingLength,22
Euglossini,Eulaema bombiformis,M-0002,2853,wingLength,24.3
Euglossini,Eulaema bombiformis,M-0082,3041,wingLength,21.3
Euglossini,Eulaema bombiformis,M-0498,4525,wingLength,21.7
Euglossini,Eulaema bombiformis,M-0644,3465,wingLength,22.1
Euglossini,Eulaema bombiformis,M-0645,3469,wingLength,23.1
Euglossini,Eulaema bombiformis,M-0986,4529,wingLength,21.1
Euglossini,Eulaema bombiformis,M-0987,4533,wingLength,21.4
Euglossini,Eulaema bombiformis,M-0988,4537,wingLength,20.7
Euglossini,Eulaema bombiformis,M-0989,4541,wingLength,21.7
Euglossini,Eulaema bombiformis,J-0252,6343,wingWidth,7.74
Euglossini,Eulaema bombiformis,J-0435,6335,wingWidth,7.92
Euglossini,Eulaema bombiformis,J-1154,6339,wingWidth,7.87
Euglossini,Eulaema bombiformis,J-1626,6347,wingWidth,7.24
Euglossini,Eulaema chocoana,M-0327,3330,intertegularDistance,5.8
Euglossini,Eulaema chocoana,M-0328,3334,intertegularDistance,5.3
Euglossini,Eulaema chocoana,M-0578,3434,intertegularDistance,5.6
Euglossini,Eulaema chocoana,M-0579,3438,intertegularDistance,6.1
Euglossini,Eulaema chocoana,M-0580,3442,intertegularDistance,6
Euglossini,Eulaema chocoana,M-0581,3446,intertegularDistance,6
Euglossini,Eulaema chocoana,M-0661,4546,intertegularDistance,6.1
Euglossini,Eulaema chocoana,M-0984,4550,intertegularDistance,6
Euglossini,Eulaema chocoana,M-1329,4554,intertegularDistance,6.2
Euglossini,Eulaema chocoana,M-1330,4558,intertegularDistance,6.2
Euglossini,Eulaema chocoana,M-0327,3331,proboscisLength,22.8
Euglossini,Eulaema chocoana,M-0328,3335,proboscisLength,21.5
Euglossini,Eulaema chocoana,M-0578,3435,proboscisLength,21.2
Euglossini,Eulaema chocoana,M-0579,3439,proboscisLength,22.4
Euglossini,Eulaema chocoana,M-0580,3443,proboscisLength,22.6
Euglossini,Eulaema chocoana,M-0581,3447,proboscisLength,21.9
Euglossini,Eulaema chocoana,M-0661,4547,proboscisLength,16.7
Euglossini,Eulaema chocoana,M-0984,4551,proboscisLength,15.1
Euglossini,Eulaema chocoana,M-1329,4555,proboscisLength,16.3
Euglossini,Eulaema chocoana,M-1330,4559,proboscisLength,16.4
Euglossini,Eulaema chocoana,M-0327,3329,wingLength,19.9
Euglossini,Eulaema chocoana,M-0328,3333,wingLength,19.9
Euglossini,Eulaema chocoana,M-0578,3433,wingLength,18.6
Euglossini,Eulaema chocoana,M-0579,3437,wingLength,20.6
Euglossini,Eulaema chocoana,M-0580,3441,wingLength,20.9
Euglossini,Eulaema chocoana,M-0581,3445,wingLength,20.2
Euglossini,Eulaema chocoana,M-0661,4545,wingLength,20.6
Euglossini,Eulaema chocoana,M-0984,4549,wingLength,19.4
Euglossini,Eulaema chocoana,M-1329,4553,wingLength,20.3
Euglossini,Eulaema chocoana,M-1330,4557,wingLength,19.9
Euglossini,Eulaema cingulata,B1092,133,intertegularDistance,6.1
Euglossini,Eulaema cingulata,B1093,137,intertegularDistance,5.7
Euglossini,Eulaema cingulata,B1094,141,intertegularDistance,6
Euglossini,Eulaema cingulata,B1157,337,intertegularDistance,5.3
Euglossini,Eulaema cingulata,B1158,249,intertegularDistance,4.7
Euglossini,Eulaema cingulata,J-0136,5533,intertegularDistance,5.02
Euglossini,Eulaema cingulata,M-0039,2974,intertegularDistance,5.1
Euglossini,Eulaema cingulata,M-0061,3018,intertegularDistance,5.1
Euglossini,Eulaema cingulata,M-0108,3118,intertegularDistance,5.7
Euglossini,Eulaema cingulata,M-0150,3218,intertegularDistance,5.5
Euglossini,Eulaema cingulata,M-0172,3222,intertegularDistance,5.2
Euglossini,Eulaema cingulata,M-0173,3226,intertegularDistance,5.5
Euglossini,Eulaema cingulata,M-0466,4562,intertegularDistance,5.2
Euglossini,Eulaema cingulata,M-0491,3366,intertegularDistance,4.7
Euglossini,Eulaema cingulata,M-0492,3370,intertegularDistance,5.1
Euglossini,Eulaema cingulata,M-0814,3550,intertegularDistance,4.6
Euglossini,Eulaema cingulata,B1092,131,proboscisLength,26.3
Euglossini,Eulaema cingulata,B1093,135,proboscisLength,22.7
Euglossini,Eulaema cingulata,B1094,139,proboscisLength,24.8
Euglossini,Eulaema cingulata,B1157,335,proboscisLength,19.1
Euglossini,Eulaema cingulata,B1158,247,proboscisLength,23.2
Euglossini,Eulaema cingulata,M-0039,2975,proboscisLength,18
Euglossini,Eulaema cingulata,M-0061,3019,proboscisLength,19.2
Euglossini,Eulaema cingulata,M-0108,3119,proboscisLength,18.2
Euglossini,Eulaema cingulata,M-0150,3219,proboscisLength,18.7
Euglossini,Eulaema cingulata,M-0172,3223,proboscisLength,19.1
Euglossini,Eulaema cingulata,M-0173,3227,proboscisLength,17.7
Euglossini,Eulaema cingulata,M-0466,4563,proboscisLength,12.9
Euglossini,Eulaema cingulata,M-0491,3367,proboscisLength,17
Euglossini,Eulaema cingulata,M-0492,3371,proboscisLength,18.3
Euglossini,Eulaema cingulata,M-0814,3551,proboscisLength,17.8
Euglossini,Eulaema cingulata,B1092,132,wingLength,16.8
Euglossini,Eulaema cingulata,B1093,136,wingLength,17.2
Euglossini,Eulaema cingulata,B1094,140,wingLength,16.3
Euglossini,Eulaema cingulata,B1157,336,wingLength,17.2
Euglossini,Eulaema cingulata,B1158,248,wingLength,16.8
Euglossini,Eulaema cingulata,J-0136,5534,wingLength,16.87
Euglossini,Eulaema cingulata,M-0039,2973,wingLength,16.9
Euglossini,Eulaema cingulata,M-0061,3017,wingLength,16.5
Euglossini,Eulaema cingulata,M-0108,3117,wingLength,16.8
Euglossini,Eulaema cingulata,M-0150,3217,wingLength,17
Euglossini,Eulaema cingulata,M-0172,3221,wingLength,16.1
Euglossini,Eulaema cingulata,M-0173,3225,wingLength,17.3
Euglossini,Eulaema cingulata,M-0466,4561,wingLength,16.7
Euglossini,Eulaema cingulata,M-0491,3365,wingLength,16
Euglossini,Eulaema cingulata,M-0492,3369,wingLength,15.7
Euglossini,Eulaema cingulata,M-0814,3549,wingLength,16.1
Euglossini,Eulaema cingulata,J-0136,5535,wingWidth,5.25
Euglossini,Eulaema cingulata,J-1427,5684,wingWidth,5.52
Euglossini,Eulaema cingulata,J-1428,5688,wingWidth,5.31
Euglossini,Eulaema cingulata,J-1909,5748,wingWidth,5.5
Euglossini,Eulaema cingulata,J-1910,5752,wingWidth,5.23
Euglossini,Eulaema cingulata,J-1911,5756,wingWidth,5.04
Euglossini,Eulaema cingulata,J-1912,5760,wingWidth,5.08
Euglossini,Eulaema cingulata,J-1913,5764,wingWidth,5.36
Euglossini,Eulaema cingulata,J-1914,5768,wingWidth,5.51
