Plot_ID,Latitude,Longitude,Reassembly,Elevation,Treatment,Treatment2,Regeneration_year,elev_30m_dem,slope,aspect,solar_annual,TWI,TPI,TRI,conv.ind,Forest_1km,Forest_500m,Forest_100m,Forest_1km_JRC_TMF,Distance_forest,Distance_edge,Patch_ha,Cacao_1km,Cacao_Reg1_1km,Cacao_Reg2_1km,Pasture_1km,Pasture_Reg1_1km,Pasture_Reg2_1km,Oil_Palm_1km
CR12,0.48018456,-79.21406337,1,324,cacao regeneration,cacao regeneration late,2008,323.5441589,14.80518375,259.024507,1776737.75,15.7035675,-3.127711598,6.982633787,-20.24009526,0.747679483,0.195127888,0,0.836388297,157.6304012,0,4.283622553,0.001597113,0,0.013736117,0,0,0.236987282,0
CR13,0.48892263,-79.22616164,1,366,cacao regeneration,cacao regeneration early,2022,384.3261414,18.36476891,297.0329719,1760085.875,2.389018536,-1.199020213,8.176091697,-15.92440551,0.779537585,0.821256337,0.525443333,0.903714711,38.53006813,0,3.211387969,0.044442379,0.010223518,0,0.03206935,0.010248044,0.130339051,0
CR14,0.49816025,-79.13850116,1,529,cacao regeneration,cacao regeneration late,1985,533.4515381,18.97874069,273.2968537,1790354.125,1.518868804,2.502914951,8.224361049,-44.0504408,0.986181829,0.962890433,0.832189237,0.946726044,22.71858891,0,0.526504932,0,0,0.001676139,0.001738635,0,0.0104034,0
CR15,0.504488312,-79.15719613,1,400,cacao regeneration,cacao regeneration early,2015,399.868988,8.352990296,243.9868691,1832773.125,15.18905449,1.149015043,4.026190326,-39.30042271,0.819900672,0.739611974,0.184901003,0.90147176,57.5004941,0,13.32525015,0,0,0,0.180099323,0,0,0
CR16,0.51074639,-79.14442928,1,479,cacao regeneration,cacao regeneration early,2015,474.4798889,25.38626929,39.79712827,1684893.375,2.764676094,-7.171919386,12.50454008,-41.82232927,0.845492002,0.659104745,0.290004195,0.893199881,43.87424496,0,0.818761022,0,0.006736194,0,0.035813381,0,0.111958406,0
CR17,0.51478038,-79.14413909,1,450,cacao regeneration,cacao regeneration early,2014,459.5580444,28.43547829,59.14043584,1666328.25,0.982932448,-0.046664087,12.4654817,-41.57719203,0.861843995,0.599264901,0.242390779,0.919542757,49.1178021,0,1.297196727,0,0.006736194,0,0.011357024,0,0.120062786,0
CR18,0.53991814,-79.14419755,1,331,cacao regeneration,cacao regeneration early,2013,334.4264832,12.99814097,347.2215332,1804282.625,1.603412509,3.327040705,6.312806651,-39.64475154,0.850360304,0.666614535,0.746372597,0.917394201,25.59525606,0,0.275991643,0.031114045,0.000878625,0,0.057316643,0.060330387,0,0
OG140,0.53842899,-79.14398097,0,347,old-growth forest,old-growth forest,NA,380.5452881,20.60908632,336.8126889,1750459.25,2.012453794,0.317421233,9.221722156,-39.79107489,0.854208857,0.821330483,0.999999776,0.923066397,0,139.5622402,0,0.031114045,0.000878625,0,0.05346809,0.060330387,0,0
OG141,0.53516499,-79.14297396,0,310,old-growth forest,old-growth forest,NA,315.807312,18.5413567,126.9123644,1751519.375,3.166747093,2.175503118,7.963494139,-40.20176558,0.910522691,0.999999967,0.999999966,0.954358833,0,512.8649427,0,0.020880542,0.000878625,0,0.021206122,0.046512029,0,0
OG142,0.54492597,-79.13648201,0,205,old-growth forest,old-growth forest,NA,208.0041504,10.62849093,131.2780003,1766584.25,7.102067947,-2.773743305,6.607830771,-40.29800598,0.891639389,0.928980917,0.999999877,0.936518924,0,201.9131515,0,0.001555648,6.68E-05,0,0.037016311,0.069721824,0,0
OG143,0.544846,-79.14174702,0,221,old-growth forest,old-growth forest,NA,239.1601715,16.33516807,149.1866029,1752973.375,1.841780901,0.735981359,7.205885252,-39.59778782,0.855122717,0.801154432,0.993682493,0.922670374,0,92.10088373,0,0.025908103,0.000878625,0,0.04097745,0.077113114,0,0
OG144,0.53309399,-79.17252302,0,499,old-growth forest,old-growth forest,NA,506.5849304,31.81832699,345.3359453,1622557.875,3.33725071,0.620379254,14.81127463,-35.53088673,0.92940284,0.975554193,0.999999669,0.939254858,0,351.9689742,0,0.006132332,0,0,0.034206884,0.028735872,0.001522076,0
OG145,0.52878804,-79.17346003,0,528,old-growth forest,old-growth forest,NA,540.7618408,6.641816374,202.947067,1877519.125,2.674257755,2.030477347,3.141230466,-35.39347765,0.970555051,0.999999966,0.999999828,0.983601584,0,564.3423222,0,0,0,0,0.0083977,0.021047239,0,0
OG146,0.52631697,-79.16819301,0,507,old-growth forest,old-growth forest,NA,517.0875244,7.003247023,182.6797323,1871512.75,2.162627935,5.142074502,5.813710751,-36.35317173,0.999999996,0.99999998,0.999999832,0.99631473,0,-1,0,0,0,0,0,0,0,0
OG147,0.46402,-79.2135,0,238,old-growth forest,old-growth forest,NA,196.3600006,9.421316005,216.5025375,1790996.25,2.128491163,-1.0812,4.9876,-19.27702399,0.644421661,0.49314429,0.564569847,0.827702399,0,0.19635181,0,0.021802842,0,0.030121228,0.225070124,0,0.064502731,0.014081417
OG148,0.488081,-79.218927,0,514,old-growth forest,old-growth forest,NA,528.7298584,8.236481006,170.980869,1872223,1.936624289,3.47872008,4.26359188,-18.82917373,0.799067167,0.97978722,0.999999827,0.873936535,0,370.2799265,0,0.007550013,0.010223518,0.005816315,0.019209009,0.007073094,0.157002824,0
OG149,0.54076192,-79.13480303,0,450,old-growth forest,old-growth forest,NA,203.1040497,23.16119756,190.9852783,1641913.625,2.376061201,0.355197726,10.58268934,-40.9386615,0.957081685,0.999999953,0.999999717,0.950260155,0,657.6258503,0,0,0,0,0.000104706,0.042813616,0,0
OG150,0.521667,-79.200717,0,519,old-growth forest,old-growth forest,NA,522.255127,7.765844072,253.3536599,1870276.125,2.089490652,2.9751551,4.70324486,-28.1533413,0.783397964,0.94922467,0.999999742,0.908069485,0,299.9251659,0,0.075025674,0,0,0.054613804,0,0.087018947,0
OG151,0.52195,-79.19735,0,566,old-growth forest,old-growth forest,NA,575.7091675,12.96324381,10.58349064,1852377.375,1.572632074,4.9578,6.1747,-29.61695578,0.921695071,0.999999974,0.999999703,0.953136937,0,597.953313,0,0.038623748,0,0,0.012012276,0,0.027725297,0
OG152,0.5199,-79.194417,0,547,old-growth forest,old-growth forest,NA,543.4936523,14.58242463,245.9428388,1830477.25,2.221596956,-1.501822,6.43993,-30.79639957,0.955419709,0.999999955,0.999999865,0.96129095,0,726.5596006,0,0.012841996,0,0,0.007389433,0.002665134,0.021686747,0
OG153,0.52370399,-79.16548499,0,520,old-growth forest,old-growth forest,NA,521.2855835,14.29611209,233.5436485,1833841.875,1.769457579,2.340767794,6.888500301,-36.90332375,1,0.999999973,0.999999751,0.99008848,0,-1,0,0,0,0,0,0,0,0
OG154,0.47132,-79.19949,0,328,old-growth forest,old-growth forest,NA,348.594696,6.237424834,236.5003143,1840102.375,2.664714813,1.640016,3.35416,-25.28292431,0.935679437,0.939226834,0.999999846,0.954629385,0,273.5066997,0,0,0,0.009061745,0.038513012,0,0.016745801,0
OG28,0.46440563,-79.21261431,1,224,old-growth forest,old-growth forest,NA,215.8428497,13.23545366,319.8594547,1773760.75,1.974348187,0.004537989,6.043654965,-19.64451995,0.649580102,0.539588986,0.988279875,0.830225498,0,85.202771,0,0.027738251,0,0.030121228,0.221008357,0,0.064502731,0.007049329
OG37,0.49819185,-79.17924819,1,550,old-growth forest,old-growth forest,NA,564.9036865,3.136233007,265.9476432,1892670.625,3.568228006,0.3266395,1.469427715,-33.9341579,0.750131575,0.668065308,0.999999851,0.887656757,0,122.8745811,0,0,0.001567733,0,0,0.168527039,0.079773657,0
OG38,0.51305713,-79.19321874,1,535,old-growth forest,old-growth forest,NA,554.5657959,11.76278261,41.63516376,1849073.75,2.243943691,-2.550096389,5.552835754,-31.02173078,0.87414055,0.969796705,0.999999791,0.934109558,0,403.353897,0,0,0,0.005927712,0.052793664,0.036097582,0.031096883,0
OG39,0.52155163,-79.19538539,1,576,old-growth forest,old-growth forest,NA,580.2055664,15.44952215,234.5699152,1837149.625,2.066028833,0.474480213,6.656029,-30.44800352,0.966609861,0.99999996,0.999999759,0.97000243,0,780.6851713,0,0.017780689,0,0,0.001702774,0,0.013906684,0
OG40,0.52772307,-79.1724196,1,531,old-growth forest,old-growth forest,NA,543.3282471,10.40058,215.1675412,1862701.25,1.903126836,4.430751157,6.416416315,-35.58155142,0.988580058,0.999999965,0.999999888,0.993647058,0,723.9292806,0,0,0,0,0.00262418,0.008795758,0,0
OG41,0.52981297,-79.18850563,1,389,old-growth forest,old-growth forest,NA,413.8276367,8.130929549,305.5056335,1829601.75,4.767007828,-2.033165148,3.762800297,-32.80501821,0.863130262,0.946224536,0.999999865,0.924732264,0,214.004796,0,0.018177366,0,0,0.027217904,0.08604252,0.005431951,0
OG42,0.53843029,-79.17462078,1,356,old-growth forest,old-growth forest,NA,343.7264404,8.117757828,284.5764448,1822728.75,3.547323942,-2.332199169,5.249092615,-35.18326639,0.763387608,0.837017918,0.999999775,0.844056537,0,188.464507,0,0.033413827,0,0,0.113222574,0.048567408,0.041469765,0
OG43,0.46447835,-79.21007388,1,238,old-growth forest,old-growth forest,NA,229.2407684,19.33341183,234.5257415,1720909.25,2.156609535,0.171983142,8.987991061,-20.62290714,0.686117013,0.787678455,0.99999976,0.849993832,0,147.8222148,0,0.036124784,0,0.030121228,0.17619078,0,0.064340911,0.007105282
