Plot_ID,Max_tree_height,Max_tree_DBH,Number_stems,AGB_all,AGB_wild,AGB_dbh10,Plot_ID,AGC_all,AGC_wild,AGC_dbh10,AGB_Chave_all,AGB_Chave_wild,AGB_Chave_dbh10,basal_area_wild,sr_all,sr_wild,sr_dbh10,sr_rar_all,sr_rar_wild,sr_rar_dbh10
OG52,36.4,84.03388093,143,254.1117157,254.1117157,251.4531577,OG52,120.8431333,120.1975426,118.8739611,271.880456,271.880456,269.3163364,30.75147998,64,64,55,83.77564103,83.77564103,82.99090909
PA53,10.16,11.75201092,9,0.841213518,0.841213518,0.484613155,PA53,0.399212591,0.400854534,0.231164549,1.006773564,1.006773564,0.632026865,0.322621984,4,4,1,4.416666667,4.416666667,1
PA54,16.34,30.65326793,7,9.20964181,8.693402568,8.693402568,PA54,4.368859591,4.101713572,4.097202746,8.688068668,8.37924832,8.37924832,1.819972371,5,3,3,7.083333333,2.704312668,2.704312668
PA55,13.85,17.03755105,2,1.708513739,1.364072974,1.364072974,PA55,0.807417185,0.63306805,0.649766271,2.043675362,1.811445192,1.811445192,0.381475304,3,2,2,3.05,2.125,2.125
PA56,9.1,12.87246267,11,1.238515463,1.238515463,1.11469904,PA56,0.588595246,0.582927244,0.535595216,1.20498168,1.20498168,1.116293153,0.461551635,5,5,4,5.090909091,5.090909091,4.416666667
PA57,21.6,24.10881114,20,13.04157154,13.04157154,13.04157154,PA57,6.16792991,6.144354071,6.1394628,12.19849623,12.19849623,12.19849623,2.039713966,5,5,5,4.567040349,4.567040349,4.567040349
PA58,21.84,36.16003361,7,21.04557469,21.04557469,21.04557469,PA58,9.842397693,9.838893176,9.921319992,17.00445235,17.00445235,17.00445235,2.39961007,6,6,6,12.71428571,12.71428571,12.71428571
PR19,19.14,32.034734,46,25.58940325,25.58940325,24.32750833,PR19,12.00479685,12.10474993,11.54124792,24.22142114,24.22142114,23.37772863,5.824566859,18,18,17,17.50716716,17.50716716,27.44444444
PR20,5.04,11.21724986,5,0.572228461,0.572228461,0.519884314,PR20,0.267909006,0.268977119,0.245108015,0.403003625,0.403003625,0.367160477,0.257942952,2,2,2,1.709764891,1.709764891,1.263952522
PR21,26.12,43.22015285,216,153.3002123,153.3002123,148.7728984,PR21,72.24866985,72.10364853,69.85782248,139.5580943,139.5580943,135.9084851,23.69835402,65,65,56,43.68175149,43.68175149,40.39779191
PR22,23.12,45.69660586,105,62.45467058,62.45467058,59.05337651,PR22,29.36150719,29.47238456,27.68942569,57.31391607,57.31391607,54.9798352,12.80280304,24,24,19,11.25213551,11.25213551,9.799862726
PR23,13.62,22.29444326,11,6.892374954,6.892374954,6.609366274,PR23,3.205962845,3.258669112,3.070760605,5.526683501,5.526683501,5.243830969,1.267664463,7,7,5,6.45354894,6.45354894,5.553571429
PR24,31,55.13131885,151,157.2817128,157.2817128,153.56448,PR24,73.92553257,74.20591128,72.23382025,150.8136756,150.8136756,147.8859519,21.85525801,60,60,45,51.81764317,51.81764317,40.49611685
PR25,6.02,12.14671552,10,0.854490509,0.854490509,0.646478406,PR25,0.404222671,0.402225551,0.303904507,0.665638282,0.665638282,0.496257756,0.375677284,4,4,3,2.874530657,2.874530657,2.512502071
PR26,20.44,41.63496828,166,53.49907764,53.31575764,48.37086636,PR26,25.17734381,25.06151436,22.74847812,54.9763222,54.87473109,50.81132675,12.71191721,34,32,26,14.27270244,13.33719585,13.82650925
PR27,23.2,42.5007719,142,68.64231969,68.64231969,64.42916035,PR27,32.2199237,32.31322925,30.35828007,71.01658435,71.01658435,67.59826952,13.66458163,37,37,31,22.01450171,22.01450171,22.05495784
PR29,21.38,34.78493374,127,39.33975377,38.97654328,37.07925432,PR29,18.48267521,18.37006168,17.41903867,52.15806765,51.78728045,49.760142,10.46434385,15,14,13,4.310412041,3.168795875,2.104218156
PR30,27.88,43.57029402,124,61.60926448,61.60926448,56.3849213,PR30,28.97398441,29.01270127,26.55995183,77.9690922,77.9690922,73.90515903,13.36456062,30,30,25,13.97416781,13.97416781,15.47623169
PR31,30.02,72.34553204,133,140.8203391,140.8203391,137.0598894,PR31,66.44244812,66.38297476,64.7239616,165.8785544,165.8785544,162.9684459,21.69131968,50,50,38,43.34350177,43.34350177,36.40650132
PR32,21.9,41.02381278,106,58.81004871,58.69512562,55.26639979,PR32,27.81604708,27.60214311,25.96366055,56.30016815,56.22409541,53.77012037,11.15422318,38,37,35,26.96798503,25.97877658,33.66063226
PR33,9.3,17.66621361,15,2.28733233,2.28733233,2.165728727,PR33,1.079005065,1.082284617,1.020387433,2.335817169,2.335817169,2.160826247,0.869317766,9,9,8,11.9,11.9,10.04166667
PR34,50,67.04885106,183,171.0476717,171.0476717,167.0761283,PR34,80.42325391,81.05442394,79.58070884,202.3532909,202.3532909,199.6930337,27.63491671,68,68,62,55.55972772,55.55972772,56.70593023
PR36,20.98,36.80938633,148,76.44877939,76.40301493,75.0591771,PR36,35.95562424,35.96454835,35.25773662,100.8272482,100.7993817,99.39062716,18.63134878,19,18,17,5.674342144,5.513443061,5.0259627
