Plot,Number,Stem,Circumference,Height
CA59,1,,28.4,10.3
CA59,2,,27.2,6.7
CA59,3,,67.1,13.5
CA59,4,,31.6,9.8
CA59,5,,40.5,10.1
CA59,6,A,56.1,7.3
CA59,6,B,34.2,6.9
CA59,7,,38,7
CA59,8,,36.5,6.2
CA59,9,,35.4,7.6
CA59,10,,69.1,5.1
CA59,11,,26.2,7.9
CA59,12,,31.3,7.5
CA59,13,,35.4,6
CA59,14,,71.8,8.4
CA59,15,,35.5,7
CA59,16,,34.2,5.9
CA59,17,,32.6,3.5
CA59,18,,50.2,3.9
CA59,19,,49.5,4.3
CA60,1,,161.8,25.1
CA60,2,,31.2,9.3
CA60,3,,167.6,19.5
CA60,4,,26.5,5.3
CA60,5,,40.8,6.5
CA60,6,,40.5,6.4
CA60,7,,107.1,12.5
CA60,8,,39.5,5.3
CA60,9,,47.8,7.9
CA60,10,,122.7,18.7
CA60,11,,29.1,5.2
CA61,1,,68.2,9.5
CA61,2,,107.6,9.1
CA61,3,,68.8,6.6
CA61,4,,,
CA61,5,,68.5,4.9
CA61,6,,44.6,8.5
CA61,7,,30.4,8
CA61,8,,58.1,7.9
CA61,9,A,81.8,9.7
CA61,9,B,72.4,9.5
CA61,9,C,40.1,9.1
CA61,10,A,75.2,13.2
CA61,10,B,64.3,11
CA61,10,C,70.2,10.9
CA61,11,,,
CA61,12,,75.1,7.2
CA61,13,,122.6,9
CA61,14,,38.8,11.4
CA61,15,,98.6,8.3
CA61,16,,61.2,7.2
CA61,17,,59.4,8.4
CA61,18,,61.4,9.6
CA61,19,,43.6,9.9
CA61,20,,71.2,6.7
CA61,21,,54.6,6.3
CA61,22,,73,13.6
CA61,23,,36.1,6
CA62,1,,129.4,13.5
CA62,2,A,55,10.1
CA62,2,B,43.2,10.2
CA62,3,,62.3,5.6
CA62,4,,67.2,8.7
CA62,5,,77,8.5
CA62,6,A,52.1,11.5
CA62,6,B,59.2,13.6
CA62,7,A,57.6,12.5
CA62,7,B,90.2,13.2
CA62,8,A,101.7,15.1
CA62,8,B,60.5,11.7
CA62,9,,80.5,13.5
CA62,10,,62.7,12.8
CA62,11,,95.3,15.9
CA62,12,,41.1,2.9
CA62,13,,35.3,3.1
CA62,14,,32.4,3
CA62,15,,30.2,2.8
CA62,16,,29.7,2.5
CA62,17,,40.2,2.3
CA62,18,,31.2,2.5
CA62,19,,44.1,4.7
CA62,20,,28.6,2.3
CA62,21,,38.2,2.5
CA62,22,A,34.5,2.1
CA62,22,B,30,2
CA62,23,,40.6,3.1
CA63,1,,64.8,10.3
CA63,2,,32.5,8.1
CA63,3,,47,9.6
CA63,4,,46.4,11.2
CA63,5,,29.2,7.1
CA63,6,,47.2,10.5
CA63,7,,60.3,11.7
CA63,8,,56.2,8.8
CA63,9,,49.8,10.5
CA63,10,A,40.4,4.6
CA63,10,B,31.2,2.9
CA63,10,C,33.5,3.5
CA63,11,,35.2,2.8
CA63,12,,30,3.7
CA63,13,,52.3,7.4
CA63,14,A,41.8,2.9
CA63,14,B,36.2,3.7
CA63,15,,42.1,4.1
CA63,16,,46.4,6.7
CA63,17,,28.3,2.9
CA63,18,,46.1,6.5
CA63,19,,31.4,3.9
CA63,20,,34.6,3.1
CA63,21,,45.3,7.4
CA63,22,,54.4,9.2
CA63,23,A,57,8.2
CA63,23,B,38.2,5.1
CA63,24,,48.5,6.9
CA63,25,A,33.2,4.2
CA63,25,B,30.6,3.5
CA63,26,A,35.2,3.7
CA63,26,B,31.6,3.4
CA63,27,,41.8,7.1
CA63,28,A,30,4.7
CA63,28,B,35.4,5.9
CA63,29,,34.1,3.2
CA63,30,,38.2,4.6
CA63,31,,41.4,5.9
CA63,32,,70.2,8.4
CA63,33,A,50.4,6.9
CA63,33,B,55.3,7.2
CA63,34,,32,2.7
CA63,35,,26.1,2.5
CA63,36,,35.5,3.2
CA63,37,,35,2.7
CA63,38,,29.6,2.3
CA63,39,,37.2,3.5
CA63,40,,51.4,7.3
CA63,41,,42.3,6.9
CA63,42,,33.6,4.4
CA63,43,A,33.2,37
CA63,43,B,37.8,2.9
CA63,44,,46.8,7.1
CA63,45,,35.4,4.9
CA63,46,,42.2,6.5
CA63,47,,36.8,3.9
CA63,48,,67.2,8.5
CA63,49,,34,4.2
CA63,50,,26.2,2.7
CA63,51,,30,3.5
CA63,52,,76.8,10.9
CA63,53,,51.1,7.2
CA63,54,A,45.4,6.1
CA63,54,B,29.6,3.2
CA63,55,A,44.3,6.3
CA63,55,B,30.8,2.9
CA63,55,C,28.2,2.5
CA63,56,,38.7,3.7
CA63,57,A,42.9,5.4
CA63,57,B,34.2,3.3
CA63,58,,31.6,2.5
CA63,59,,29.1,6.1
CA63,60,,52.4,6.8
CA63,61,,57.5,5.9
CA63,62,,34.1,2.5
CA63,63,,32.3,3.4
CA63,64,,25.2,2.9
CA63,65,,50.8,10.2
CA63,66,A,43.1,8.3
CA63,66,B,30.4,4.8
CA63,67,,40.3,5.9
CA63,68,,30.1,2.7
CA63,69,A,49.2,6.2
CA63,69,B,33.5,3.1
CA63,70,,31.2,2.8
CA63,71,A,37,3.5
CA63,71,B,35.6,4.2
CA63,72,A,37.8,4
CA63,72,B,35.2,2.7
CA63,73,,47,3.1
CA63,74,A,32.2,2.8
CA63,74,B,28.6,3.9
CA63,74,C,34.9,6.3
CA63,75,,29.7,2.4
CA64,1,,34.6,4.5
CA64,2,,27.9,6.1
CR01,1,,28.4,5.8
CR01,2,,26.8,9.3
CR01,3,A,60.1,11.4
CR01,3,B,45.6,10.6
CR01,4,A,29.1,10.8
CR01,4,B,30.4,10.5
CR01,4,C,28.1,10.9
CR01,4,D,32.4,10.7
CR01,5,,29.2,8.2
CR01,6,,46.4,7.9
CR01,7,,26.2,8.4
CR01,8,,55.6,10.8
CR01,9,A,30.8,11
CR01,9,B,37.1,11.3
CR01,10,,27.2,9.5
CR01,11,,29.8,3.1
CR01,12,,25.4,7.3
CR01,13,,70.5,12.5
CR01,14,A,41.2,8.5
CR01,14,B,32.4,8.1
CR01,15,,52.1,7.5
CR01,16,,50.8,11.3
CR01,17,,25.6,11.3
CR01,18,,26.1,6.3
CR01,19,,30.4,8.9
CR01,20,,74.5,13.5
CR01,21,,35.2,6.9
CR01,22,,29.4,9.6
CR01,23,,26.2,8.6
CR01,24,,32,6.4
CR01,25,A,65.2,13.7
CR01,25,B,60.1,12.9
CR01,25,C,53.3,11.1
CR01,26,,40.8,10.5
CR01,27,,32.3,6.3
CR01,28,,35.1,5.1
CR01,29,,26.8,5
CR01,30,,31.3,7.5
CR01,31,A,38,11.3
CR01,31,B,36.1,10.5
CR01,32,,25.3,4.9
CR01,33,,28,5.1
CR01,34,A,41.3,9.1
CR01,34,B,39,8.4
CR01,35,,34.6,7.3
CR01,36,,28.2,5.4
CR01,37,,26.8,6.9
CR01,38,,28.2,9.5
CR01,39,,49.1,9.9
CR01,40,,32.6,8.1
CR01,41,,32.6,9.6
CR01,42,,44.2,10.4
CR01,43,,39.1,8.7
CR01,44,,38.2,11.1
CR01,45,,40.1,11.3
CR01,46,,32.3,9.2
CR01,47,,68.8,13.3
CR01,48,,34.4,13.2
CR01,49,A,68,7.2
CR01,49,B,45.1,6.9
CR01,49,C,38,9.7
CR01,49,D,34.1,6.5
CR01,49,E,35.2,6.1
CR01,50,,29.1,7
CR01,51,,30.8,11.1
CR01,52,,33.6,12
CR01,53,,32.1,11.5
CR01,54,,25.6,4.2
CR01,55,,51.3,4.5
CR01,56,A,28.4,3.9
CR01,56,B,25.6,3.7
CR01,56,C,25.4,3.3
CR01,57,,31.8,3.9
CR01,58,,30.4,10.7
CR01,59,,27.8,11.6
CR01,60,,87.6,25.8
CR01,61,,271,10.3
CR01,62,,33.4,13.5
CR01,63,,73.6,16.8
CR01,64,,30,7.1
CR01,65,,25.3,7.6
CR01,66,,28.2,5.1
CR01,67,,25.1,4.9
CR01,68,,57.3,16.6
CR01,69,,54.4,16.3
CR01,70,,51.4,15.9
CR01,71,,47.6,14.6
CR01,72,,65.3,13.2
CR01,73,,102.5,20.5
CR01,74,,40.4,13.4
CR01,75,,32.6,11.2
CR01,76,,33,9.5
CR01,77,,28.1,6.9
CR01,78,,31.3,7.5
CR01,79,,38.2,12.9
CR01,80,A,70.1,12.2
CR01,80,B,56,11.9
CR01,81,,33.2,8.7
CR01,82,,40.4,6.5
CR01,83,,54.1,14.8
CR01,84,,40.2,9.8
CR01,85,,38.6,13.7
CR01,86,,49.4,6.5
CR01,87,,70.6,18.3
CR01,88,,33.1,15.9
CR01,89,,27.8,6.5
CR01,90,,46.1,15.1
CR01,91,,100.3,17.5
CR01,92,,55.2,11.3
CR01,93,,32.4,9.2
CR01,94,,100.8,16.7
CR01,95,,84.6,16.5
CR01,96,,90.3,16.1
CR01,97,,46,8.4
CR01,98,,29.8,5.2
CR01,99,,83.2,18.1
CR01,100,,35.1,13.1
CR01,101,,29.2,9.5
CR01,102,,29.4,5.1
CR01,103,,33.6,11.4
CR01,104,,52.8,13.7
CR01,105,,30.1,10.4
CR01,106,,96.8,13.3
CR01,107,,56.4,13.5
CR01,108,,88.1,14.8
CR01,109,,62.4,16.4
CR01,110,,42.1,10.2
CR01,111,,41.2,12.8
CR01,112,,50.1,16.3
CR01,113,,48.2,18.1
CR01,114,,49,16.8
CR01,115,,33.2,10.1
CR01,116,,39.8,12.4
CR01,117,,43.1,13.5
CR01,118,,44.4,13.7
CR01,119,,44.6,7.8
CR01,120,,29.1,6.1
CR01,121,,31.6,5.7
CR01,122,,37.4,14.5
CR01,123,,75.4,13.9
CR01,124,,130.2,18.2
CR01,125,,36.1,6.1
CR01,126,,34.2,7
CR01,127,,40.3,3.9
CR01,128,,34.4,6.7
CR01,129,,42.6,13.8
CR01,130,,34.7,9.9
CR01,131,,49.4,12.2
CR01,132,,43.6,14.6
CR01,133,,36.1,12
CR01,134,,28.4,4.3
CR01,135,,47.2,13.9
CR01,136,A,51.4,13.2
CR01,136,B,45.6,12.7
CR01,136,C,28.1,9.4
CR01,137,A,44.8,11.1
CR01,137,B,32.4,10.2
CR01,137,C,32.2,10
CR01,137,D,32.1,9.9
CR01,138,,29.4,5.7
CR01,139,,124.5,15.5
CR01,140,,29.1,5.2
CR01,141,A,49.2,11.9
CR01,141,B,31.8,11.1
CR01,142,A,56.6,13.3
CR01,142,B,41.1,11.7
CR01,142,C,27.8,8.5
CR01,143,,28.2,3.2
CR01,144,,31.1,6.7
CR01,145,A,52,15.9
CR01,145,B,42.4,13.2
CR01,145,C,38.9,12.4
CR01,145,D,33.4,11.9
CR01,146,A,29.2,11.9
CR01,146,B,28.4,12
CR01,147,,28.2,8.3
CR01,148,A,41.6,11.6
CR01,148,B,33,11
CR01,148,C,32.3,10.4
CR01,149,,76.4,13.2
CR01,150,,41.1,12.4
CR01,151,A,39.1,4.9
CR01,151,B,28.8,4.5
CR01,152,,49.2,15.7
CR01,153,,32.1,11.1
CR01,154,,30.4,13.6
CR01,155,,59.2,14.9
CR01,156,,30.1,6.9
CR01,157,,38.8,14.2
CR01,158,,37.1,13.1
CR01,159,,29.3,12.9
CR01,160,,60.1,10.7
CR01,161,,56.2,14.4
CR01,162,,44.6,13.6
CR01,163,,30.1,7.4
CR01,164,,57.5,15.9
CR01,165,,29.1,5.3
CR01,166,,57.5,8.7
CR01,167,,28.6,11.2
CR01,168,,48.1,14.5
CR01,169,,75.8,18.7
CR01,170,,39.2,6.1
CR01,171,,40.1,17.5
CR01,172,,34.6,9.2
CR01,173,,27.4,5.9
CR01,174,,71.6,14.5
CR01,175,,28.8,11.2
CR01,176,,36.5,14.5
CR01,177,A,39.1,10.9
CR01,177,B,29.4,10
CR01,178,,30.2,6.1
CR02,1,,46.3,
CR02,2,,57.2,15.6
CR02,3,,30.4,4.3
CR02,4,,37.5,12.3
CR02,5,,32,3.3
CR02,6,,28.3,3
CR02,7,,47.2,9.6
CR02,7,A,33.7,11.4
CR02,8,,47.3,13.5
CR02,9,,37.2,5.1
CR02,10,,26.5,3
CR02,11,,45.3,13.5
CR02,12,,25.1,5.1
CR02,13,,50.2,12.3
CR02,14,,31.2,6.4
CR02,14,A,26,5.7
CR02,15,,28.3,5.8
CR02,16,,36.2,10.9
CR02,17,,31.2,6.7
CR02,17,A,29.3,6.5
CR02,17,B,26,6
CR02,17,C,25,5.8
CR02,18,,28.3,4.2
CR02,19,,44.2,10.2
CR02,20,,71.5,14.3
CR02,21,,29.3,5.8
CR02,22,,38,10.4
CR02,23,,48.3,7.2
CR02,24,,133.4,18.3
CR02,25,,28.3,4.6
CR02,26,,25.3,4.1
CR02,27,,46.5,11.5
CR02,28,,35.2,11.9
CR02,29,,34.2,10.7
CR02,30,,39.4,7.3
CR02,31,,50,14.8
CR02,32,,36.2,
CR02,33,,41.5,13.2
CR02,34,,36.5,12.8
CR02,35,,43.7,6.4
CR02,36,,64.5,12.5
CR02,37,,61.6,13.2
CR02,38,,29.2,5.1
CR02,39,,53,11.7
CR02,40,,27.2,6.4
CR02,41,,44.3,14.8
CR02,42,,36.5,3.8
CR02,42,A,31,4.3
CR02,43,,29.3,4.3
CR02,44,,93.2,18.4
CR02,45,,29,5.1
CR02,46,,26.1,5
CR02,47,,26.3,2
CR02,48,,28.1,3.9
CR02,49,,43.2,11.4
CR02,50,,54,6.7
CR02,50,A,31.5,6.5
CR02,51,,34.2,5.3
CR02,52,,53.2,7
CR02,53,,29.3,4.9
CR02,54,,35.5,5.2
CR02,55,,67.2,7.4
CR02,56,,37.2,5.8
CR02,56,A,35.9,5.3
CR02,57,,33.2,6.3
CR02,58,,56.3,7.5
CR02,58,A,32.4,3.4
CR02,59,,307,4
CR02,60,,46.3,3.5
CR02,61,,31.5,3.9
CR02,62,,42.4,5.8
CR02,63,,43.3,5.5
CR02,63,A,32,4.9
CR02,63,B,29.7,4.2
CR02,64,,30.5,
CR02,65,,34.2,3.9
CR02,65,A,29,3.5
CR02,66,,39.2,16.1
CR02,67,,31.2,
CR02,68,,25.5,5.3
CR02,69,,38.7,7
CR02,70,,27.2,4.3
CR02,71,,48.3,12.8
CR02,72,,48.5,11.4
CR02,73,,29,5.9
CR02,74,,50.9,12.4
CR02,75,,29.3,5.3
CR02,76,,29.1,6.3
CR02,76,A,28.4,5.1
CR02,77,,29,7.2
CR02,78,,111.5,17.4
CR02,79,,28.3,3.5
CR02,80,,72,13.9
CR02,81,,56.5,18.5
CR02,82,,155.7,23.3
CR02,83,,32.5,9.1
CR02,84,,29,5.3
CR02,85,,38.3,12.7
CR02,86,,29.2,6.2
CR02,87,,45,13.4
CR02,88,,25,8.1
CR02,89,,36.2,9.3
CR02,90,,30.5,11.6
CR02,91,,56.1,19.5
CR02,92,,39.5,13.1
CR02,92,A,36.7,10.3
CR02,93,,46,11.9
CR02,94,,79.3,24.8
CR02,95,,46,9.3
CR02,96,,37.4,12.4
CR02,97,,78.2,14.2
CR02,98,,31.4,3.5
CR02,99,,28.3,3.8
CR02,100,,31.1,5.2
CR02,101,,33.4,3.1
CR02,102,,43.7,10.8
CR02,103,,46.2,17
CR02,104,,102.3,24.4
CR02,105,,71.5,19.1
CR02,106,,73.1,19.3
CR02,107,,35,10.3
CR02,108,,33.5,7.2
CR02,109,,25,5.5
CR02,110,,58.5,16.2
CR02,111,,101.3,21.1
CR02,112,,29.7,10
CR02,113,,32,10.8
CR02,114,,98.3,18.1
CR02,115,,35.9,11.1
CR02,116,,28,4.9
CR02,117,,33,4
CR02,118,,27.5,3.5
CR02,119,,42.3,5.2
CR02,120,,46.5,14.3
CR02,121,,49,6.1
CR02,122,,27.2,4.8
CR02,123,,26.1,5.1
CR02,124,,39.3,14.1
CR02,125,,38,14.7
CR02,126,,90.2,19.8
CR02,127,,39.5,12
CR02,128,,46.2,14.1
CR02,129,,34.5,9.5
CR02,130,,39.2,
CR02,131,,37.9,11.9
CR02,132,,39.1,12.1
CR02,133,,30.4,10.7
CR02,134,,31.5,11.4
CR03,1,,35.1,8.5
CR03,2,,30.5,7.3
CR03,3,,35.4,6.8
CR03,4,,25.3,5.1
CR03,5,,30.1,9.4
CR03,6,,33.4,7.9
CR03,7,,37.6,7.3
CR03,8,,31.3,6.2
CR03,9,,41.5,10.7
CR03,10,,55.2,11.4
CR03,11,,26.1,6.2
CR03,12,,26.5,7.9
CR03,13,,41.3,10.5
CR03,14,,27.2,5.6
CR03,15,,26.4,5.9
CR03,16,,40.3,7.3
CR03,17,A,44.2,11.7
CR03,17,B,41.1,10.9
CR03,18,,59.1,11.1
CR03,19,,46.4,10.7
CR03,20,,40.1,9.9
CR03,21,,41.3,8.7
CR03,22,,28.4,9.2
CR03,23,,34.4,10.1
CR03,24,,35.2,7
CR03,25,A,34.3,11.9
CR03,25,B,32.1,11.2
CR03,26,,32.6,10.3
CR03,27,,39.5,12.1
CR03,28,,27.2,9
CR03,29,,25.1,7.6
CR03,30,,36.3,9.4
CR03,31,,47.1,13
CR03,32,,35.4,8.9
CR03,33,,27.9,6.5
CR03,34,,33.5,4.5
CR03,35,,38.7,9.3
CR03,36,,46.5,12.2
CR03,37,,30.2,6.5
CR03,38,,45.4,11.9
CR03,39,,33.3,9.7
CR03,40,,31.5,7.4
CR03,41,,33.6,10.2
CR03,42,,26.5,8.9
CR03,43,,43,11.3
CR03,44,,38.1,13.2
CR03,45,,27.2,8.7
CR03,46,,40.6,7.9
CR03,47,,36.5,11.4
CR03,48,,55.6,14.1
CR03,49,,26.1,7.8
CR03,50,,42.5,10.7
CR03,51,,28.1,7.3
CR03,52,,38.2,12.2
CR03,53,,25.4,9
CR03,54,,36.2,11.1
CR03,55,A,34.4,7.9
CR03,55,B,31.2,7.2
CR03,56,,32.4,8.4
CR03,57,,34.2,7.9
CR03,58,,35.7,9.2
CR03,59,,25.3,6.6
CR03,60,,25.1,5.9
CR03,61,,42,9.8
CR03,62,,29.3,7.4
CR03,63,,30,6.8
CR03,64,,35.5,10.2
CR03,65,,34,9.1
CR03,66,,43.3,10.7
CR03,67,,36.4,9.9
CR03,68,,32.5,7
CR03,69,,32,9.3
CR03,70,,27.1,8.9
CR03,71,,31.6,11.2
CR03,72,,27.7,6.7
CR03,73,,40.5,12.4
CR03,74,,26.2,7.8
CR03,75,,25.5,7.4
CR03,76,,31.1,6
CR03,77,,30,5.9
CR03,78,,37.1,10.2
CR03,79,,29.1,7.1
CR03,80,,40.2,13
CR03,81,,42.7,9.7
CR03,82,,57.5,10.9
CR03,83,,47,13.4
CR03,84,,45,14.2
CR03,85,,28.3,7.3
CR03,86,,63.8,15.7
CR03,87,,38,12.7
CR03,88,,42.7,10.4
CR03,89,,30.2,11.8
CR03,90,,32.7,6.3
CR03,91,,31.1,7.5
CR03,92,,42.2,9.2
CR03,93,A,47.8,9.3
CR03,93,B,38.5,6.5
CR03,93,C,35.6,7.9
CR03,94,,42.3,5
CR03,95,,29.2,4
CR03,96,A,31.5,6.3
CR03,96,B,26.3,4.9
CR03,97,,46.5,12.4
CR03,98,,29,7.6
CR03,99,,26.5,4.5
CR03,100,,28.3,3.8
CR03,101,A,41.2,12.3
CR03,101,B,25.7,7.8
CR04,1,,25.6,11.2
CR04,2,,44.5,9.9
CR04,3,,49,14.4
CR04,4,,42,10.8
CR04,5,,31,7.5
CR04,6,A,27.7,10.2
CR04,6,B,28,10
CR04,6,C,29.2,10.1
CR04,6,D,35.4,9.8
CR04,7,,25,6.1
CR04,8,,27.7,5.3
CR04,9,,37,10.5
CR04,10,,43,10.7
CR04,11,,50,9.4
CR04,12,,25,6.2
CR04,13,,50.6,12.4
CR04,14,,79,15.1
CR04,15,A,28.5,6.5
CR04,15,B,36,6.1
CR04,16,,32.7,8.3
CR04,17,,47.2,12.6
CR04,18,,52,14.9
CR04,19,,48,14.2
CR04,20,,49.5,11
CR04,21,,27,6.8
CR04,22,,55,7.1
CR04,23,,30,8.4
CR04,24,,79.5,14.6
CR04,25,,28,8.5
CR04,26,,29.5,9
CR04,27,,30,7.2
CR04,28,,116.5,17
CR04,29,,27,5.9
CR04,30,,99.2,13.5
CR04,31,,30,8.2
CR04,32,,90,17.4
CR04,33,,39,13.1
CR04,34,,43.3,11.9
CR04,35,,31.5,6.5
CR04,36,,70,16.7
CR04,37,,46.7,12.8
CR04,38,,35,9.4
CR04,39,,34,8.3
CR04,40,,149.6,21.4
CR04,41,,142.9,21.9
CR04,42,,56.3,14.2
CR04,43,,54.4,17.7
CR04,44,,43.5,12.1
CR04,45,,40,10.4
CR04,46,,47.6,13.6
CR04,47,,36.6,7.5
CR04,48,,114.3,24.9
CR04,49,,52,16.7
CR04,50,,47,12.2
CR04,51,,54.6,15.4
CR04,52,,37.5,9.7
CR04,53,,38,9.9
CR04,54,,26.7,9
CR04,55,,25.5,5.9
CR04,56,,47.5,12.7
CR04,57,,27.5,8.2
CR04,58,,72.5,16.4
CR04,59,,87.6,19
CR04,60,,42,13.4
CR04,61,A,28,7
CR04,61,B,26,3.8
CR04,62,,45,13.7
CR04,62,,28.5,9.3
CR04,64,,68.8,16.4
CR04,65,,43.5,6.8
CR04,66,,29.5,8.1
CR04,67,,43,9.2
CR04,68,,39.5,7.5
CR04,69,,48.3,11.6
CR04,70,,44,15.2
CR04,71,,36.2,7.3
CR04,72,,55.4,16.7
CR04,73,,85,23.1
CR04,74,,90,19.8
CR04,75,,54.7,15.2
CR04,76,,39.6,12.3
CR04,77,,30,11.8
CR04,78,,47,14.3
CR04,79,,29,9.2
CR04,80,,46.7,14.8
CR04,81,,30,7.9
CR04,82,,48.5,11.6
CR04,83,,44.5,10.2
CR04,84,,38,6.4
CR04,85,,30.5,
CR04,86,,32.4,9.9
CR04,87,A,48.5,10.7
CR04,87,B,28.7,9.5
CR04,88,A,28,6.4
CR04,88,B,29.2,3.9
CR04,89,,25.5,3.8
CR04,90,,27.5,12.6
CR04,91,A,51.9,11.4
CR04,91,B,29.3,10.5
CR04,92,,50.5,15.3
CR04,93,,40,6.8
CR04,94,,28.5,4.2
CR04,95,,31,5.7
CR04,96,,57,16.8
CR04,97,A,51.5,17.1
CR04,97,B,50.2,15
CR04,98,,33,10.7
CR04,99,,32.5,6.3
CR04,100,,34,11
CR04,101,,38.5,8.5
CR04,102,,41,13.4
CR04,103,,66,17.1
CR04,104,,41,15.2
CR04,105,A,27,
CR04,105,B,26.6,4.1
CR04,106,,32.4,6.5
CR04,107,A,39.7,11.1
CR04,107,B,38.5,8.9
CR04,108,,76.6,16.7
CR04,109,,49.6,15
CR04,110,,75.5,17.8
CR04,111,,40,11.5
CR04,112,,67,17.3
CR04,113,,60.2,16.9
CR04,114,,31.7,6.4
CR04,115,,77,15.2
CR04,116,,56,13
CR04,117,,30,10.5
CR04,118,,29.5,7.2
CR04,119,,250.9,29.1
CR04,120,,123.5,22.7
CR04,121,,52.5,11.5
CR04,122,,68,16.7
CR04,123,,52,16.4
CR04,124,,45.5,13.8
CR04,125,,41,5.9
CR04,126,A,32,11.2
CR04,126,B,32.5,11
CR04,127,,76.5,16.3
CR04,128,,72.4,16.5
CR04,129,,52,14.7
CR04,130,,43,12.1
CR04,131,,29,4
CR04,132,,29.7,12.4
CR04,133,,26.5,8.8
CR04,134,,48,6.1
CR04,135,,70.8,18.3
CR04,136,,47,16.8
CR04,137,,55,17.1
CR04,138,,47.3,16.8
CR04,139,,50,14.5
CR04,140,,40,23.6
CR04,141,,51,12.8
CR04,142,,25,8.5
CR04,143,,42,10.2
CR04,144,,46.5,16
CR04,145,,22,8.3
CR04,146,,36,9.9
CR04,147,,30.4,8.7
CR04,148,,26,10.5
CR04,149,,44.3,13.9
CR04,150,,47.5,16.2
CR04,151,,53.5,17
CR04,152,,44.3,12.4
CR04,153,,47.2,17.5
CR04,154,,50.5,17.1
CR04,155,,25.2,6.9
CR04,156,,43.6,14.2
CR04,157,A,28,6.4
CR04,157,B,27.5,5.5
CR04,158,,50,17.2
CR04,159,,45.5,15.3
CR04,160,,31.4,9.5
CR04,161,,39,18.1
CR04,162,,28,3.8
CR04,163,A,31.2,9.1
CR04,163,B,28,6.7
CR05,1,,29.5,9.3
CR05,2,,48.2,9.9
CR05,3,,56.3,14.8
CR05,4,,45.8,5.4
CR05,5,,31.3,4.5
CR05,6,,32.1,6.8
CR05,7,,28.9,8.2
CR05,8,,55.8,12.1
CR05,9,,61.5,10.2
CR05,10,,32.3,11.7
CR05,11,,35.9,10.7
CR05,12,,30.4,5.9
CR05,13,,46.5,11.5
CR05,14,,27.9,7.9
CR05,15,,27.1,8.8
CR05,16,,38.1,4.9
CR05,17,,30.1,4.7
CR05,18,,30.6,7.8
CR05,19,,81.7,13.2
CR05,20,,43.5,3.8
CR05,21,,40.6,7.4
CR05,21,A,43.3,6.7
CR05,22,,45.3,16.9
CR05,23,,35.5,6.9
CR05,24,,28.5,7.3
CR05,25,,44.3,7.5
CR05,26,,29.1,5.4
CR05,26,A,32.3,3.8
CR05,26,B,27.5,3.5
CR05,27,,58.8,15.3
CR05,28,,36.5,5.9
CR05,29,,43.2,14.9
CR05,30,,46.9,9.7
CR05,31,,25.8,6.2
CR05,32,,38,5.8
CR05,33,,58.1,10.1
CR05,34,,48.6,13.4
CR05,34,A,47.9,7.8
CR05,35,,59.2,12.1
CR05,36,,32.3,5.1
CR05,37,,41.6,7.4
CR05,38,,28.2,9.4
CR05,39,,42.6,17.1
CR05,40,,55.2,15.8
CR05,41,,39.2,6.7
CR05,42,,74.7,13
CR05,43,,28.3,3.5
CR05,43,A,31.1,5.1
CR05,44,,27.3,5.2
CR05,45,,56.2,19
CR05,46,,28.7,6.2
CR05,47,,52.3,12.5
CR05,48,,33.5,8.4
CR05,49,,92.2,11.1
CR05,50,,49.1,19
CR05,51,,79.5,12.9
CR05,51,A,91.7,12.4
CR05,52,,39.5,8.2
CR05,52,A,31.1,7.6
CR05,53,,30.5,7
CR05,54,,51.1,14.9
CR05,55,,34.5,12.6
CR05,56,,122.4,12.4
CR05,56,A,107.3,12.9
CR05,57,,26.3,7.8
CR05,58,,52.1,8.5
CR05,59,,34.6,11.8
CR05,60,,29.2,5.8
CR05,60,A,26.6,6
CR05,61,,26.3,10
CR05,62,,90.2,12.3
CR05,63,,46.2,10.8
CR05,64,,25.5,3.9
CR05,65,,28.5,8.2
CR05,66,,36.2,2.8
CR05,66,A,32.1,3
CR05,66,B,29.5,2.4
CR05,67,,43.6,13.6
CR05,68,,29.2,6.8
CR05,69,,62.5,9.4
CR05,70,,39.4,14.4
CR05,71,,26.1,
CR05,72,,31.6,6.7
CR05,73,,63.1,16
CR05,74,,65.2,8.9
CR05,75,,39.1,8.4
CR05,75,A,33.7,7
CR05,75,B,30.6,5.4
CR05,76,,26.7,4.8
CR05,77,,31.8,5.5
CR05,77,A,31.6,5.4
CR05,77,B,26.5,5.2
CR05,77,C,27.1,5.3
CR05,78,,33.7,10
CR05,79,,25.5,5.5
CR05,80,,51.4,16.5
CR05,81,,51.3,16.3
CR05,82,,53.1,17
CR05,83,,36.9,8
CR05,84,,103.7,19.7
CR05,85,,64.7,10.8
CR05,86,,25.7,2.2
CR05,87,,55.1,9.7
CR05,88,,25.3,3
CR05,89,,30.2,6.5
CR05,90,,33.4,8.5
CR05,90,A,30.2,7.4
CR05,91,,25.1,2.9
CR05,92,,25.3,2.2
CR05,93,,50.1,9.8
CR05,94,,46.2,15
CR05,95,,68.5,17.2
CR05,96,,32.1,4.6
CR05,97,,34.1,6.9
CR05,98,,47.2,14.9
CR05,99,,68.3,8.5
CR05,100,,38.2,8.3
CR05,101,,50.2,10.5
CR05,102,,80.3,15.9
CR05,103,,27.1,8.6
CR05,104,,36.1,5.6
CR05,105,,27.2,6.8
CR05,106,,54.3,7.7
CR05,106,A,42.6,5.3
CR05,107,,26.2,2.7
