sp_ageF,sp_ageF_b,toughness_N,thickness_mm,SLA,LDMC,coment
Pourouma_bicolor_old_PR,Pourouma_bicolor_old_PR,1.925833333,0.158491667,35.14197324,262.6886136,
Pourouma_bicolor_young_CR,Pourouma_bicolor_young_CR,2.464666667,0.1914,33.06391249,276.2423245,
Pourouma_minor_old_CR,Pourouma_minor_old_CR,1.968333333,0.14925,33.9850998,269.0145515,
Prestoea_sp_OG,Prestoea_ensiformis_OG,5.786111111,0.120016667,29.28915998,268.3123935,
Prestoea_sp_old_CR,Prestoea_ensiformis_old_CR,4.971666667,0.107375,31.12080951,263.235699,
Protium_ecuadorense_OG,Protium_sp1_OG,2.125416667,0.136875,29.21741745,278.0471366,
Protium_ecuadorense_old_PR,Protium_sp1_old_PR,2.041481481,0.117527778,35.0795524,328.8413256,
Pseudolmedia_rigida_AC,Pseudolmedia_rigida_AC,2.467222222,0.146861111,34.14872242,271.5526566,
Pseudolmedia_rigida_old_CR,Pseudolmedia_rigida_old_CR,2.758888889,0.171333333,25.05140974,302.7759464,
Pseudolmedia_rigida_old_PR,Pseudolmedia_rigida_old_PR,3.467055556,0.150416667,27.43827985,317.2121234,
Pseudolmedia_rigida_young_CR,Pseudolmedia_rigida_young_CR,3.273444444,0.15885,32.92047448,297.6540771,
Pseudolmedia_rigida_young_PR,Pseudolmedia_rigida_young_PR,3.116666667,0.16175,27.48498502,301.8569485,
Socratea_sp_OG,Socratea_sp_OG,4.789444444,0.13275,21.52558758,271.286384,
Swartzia_haughtii_OG,Swartzia_haughtii_OG,1.932962963,0.106722222,39.13894103,332.4460006,
Swartzia_haughtii_old_CR,Swartzia_haughtii_old_CR,1.856666667,0.1195,43.84887568,350.456621,
Swartzia_haughtii_old_PR,Swartzia_haughtii_old_PR,1.544166667,0.139125,43.52761116,339.2149352,
Symphonia_globulifera_OG,Symphonia_globulifera_OG,4.377666667,0.2614,21.57253457,211.8270997,
Symphonia_globulifera_young_PR,Symphonia_globulifera_young_PR,4.077222222,0.239,15.51716462,355.1657906,
Theobroma_cacao_AC,Theobroma_cacao_AC,1.694666667,0.111566667,40.67127348,319.3506901,
Theobroma_cacao_old_CR,Theobroma_cacao_old_CR,2.238833333,0.093883333,34.19632245,315.1474554,
Theobroma_cacao_young_CR,Theobroma_cacao_young_CR,2.267466667,0.108671667,32.73443572,335.1757294,
Tovomita_weddelliana_OG,Vochysia_macrophylla_OG,4.19,0.171583333,20.15854137,230.2793657,
Tovomita_weddelliana_old_PR,Vochysia_macrophylla_old_PR,3.3244,0.1787,33.22933498,221.7425182,
Virola_sp1_AC,Virola_sp1_AC,2.103796296,0.121027778,30.09803991,242.8504431,
Virola_sp1_OG,Virola_sp1_OG,2.222388889,0.125988889,32.58060543,212.902711,
Virola_sp1_old_CR,Virola_sp1_old_CR,2.691077778,0.14676,28.74829125,220.243021,
Virola_sp1_old_PR,Virola_sp1_old_PR,2.402541667,0.16973125,27.89372411,235.5708066,
Virola_sp1_young_CR,Virola_sp1_young_CR,2.355185185,0.141444444,36.63645685,219.6215036,
Virola_sp1_young_PR,Virola_sp1_young_PR,2.552,0.1692,26.2430239,235.4979971,
Virola_sp2_OG,Virola_sp2_OG,3.287777778,0.238166667,23.18168749,181.5888547,
Virola_sp2_old_CR,Virola_sp2_old_CR,2.773185185,0.211655556,21.76652668,225.4064177,
Virola_sp2_old_PR,Virola_sp2_old_PR,2.444666667,0.1328,21.07764876,301.9376082,
Virola_sp2_young_CR,Virola_sp2_young_CR,2.714333333,0.17285,28.74495899,175.485417,
Vismia_sp_young_PR,Vismia_sp_young_PR,2.783333333,0.1519,23.27018242,296.3616266,
Wettinia_quinaria_AC,Wettinia_quinaria_AC,5.266666667,0.127666667,22.72301791,258.1497821,
Wettinia_quinaria_OG,Wettinia_quinaria_OG,4.795416667,0.194444444,24.9682611,248.9001082,
Wettinia_quinaria_old_CR,Wettinia_quinaria_old_CR,5.325,0.164072917,22.69389672,256.3270098,
Wettinia_quinaria_old_PR,Wettinia_quinaria_old_PR,4.404722222,0.141708333,34.16956355,231.3182501,
Wettinia_quinaria_young_PR,Wettinia_quinaria_young_PR,4.835,0.190875,23.64273934,260.3908145,
Azufre_old_PR,Brosimum_guianense_old_PR,3.202638889,0.221566667,22.33318479,269.3107225,
Melas_round_tip_old_CR,Miconia_cooperi_old_CR,1.230277778,NA,29.22541501,NA,
Melas_separated_nerve_OG,Melas_separated_nerve_OG,1.4362,0.27825,30.85069043,190.4136187,toughness mean melastomataceae
Morph013_old_CR,Morph013_old_CR,2.423888889,NA,27.6307453,NA,
Morph080_PR,Tapirira_guianensis_PR,1.837111111,0.1519,26.79362619,302.902944,
Morph080_OG,Tapirira_guianensis_OG,1.854527778,0.133283334,30.57686711,273.9447778,
