sp_ageF,plot,subplot,tag_number,species,status,index,toughness_N,thickness_mm,SLA,LDMC
Cecropia_sp_young_PR,PR36,UD1,5128,Cecropia_sp,alive,4781,NA,NA,NA,NA
Cecropia_sp_young_PR,PR36,UD1,5127,Cecropia_sp,alive,4782,NA,NA,NA,NA
Cecropia_sp1_AP,PA56,UU2,7422,Cecropia_sp1,alive,4932,NA,NA,NA,NA
Cestrum_schlechtendalii_old_CR,CR14,UU4,7363,Cestrum_schlechtendalii,alive,4752,2.906805556,0.114625,25.34675413,298.2201673
Cestrum_schlechtendalii_old_CR,CR14,UU4,7361,Cestrum_schlechtendalii,alive,4751,2.906805556,0.114625,25.34675413,298.2201673
cf._Banara_young_CR,CR09,UD2,4248,cf._Banara,alive,3881,1.974444444,0.158291667,32.73084064,232.4876056
cf._Banara_young_CR,CR09,UD2,4249,cf._Banara,alive,3882,1.974444444,0.158291667,32.73084064,232.4876056
cf._Banara_young_CR,CR13,FD2,6067,cf._Banara,alive,3880,1.974444444,0.158291667,32.73084064,232.4876056
cf._Licania_celiae_OG,OG45,FU1,3178,cf._Licania_celiae,alive,4089,NA,NA,NA,NA
cf._Licania_celiae_OG,OG45,UD1,3187,cf._Licania_celiae,alive,4104,NA,NA,NA,NA
cf._Miconia_laxivenula_old_CR,CR11,UU1,4068,cf._Miconia_laxivenula,alive,3834,NA,NA,NA,NA
cf._Miconia_laxivenula_old_CR,CR11,UU1,4067,cf._Miconia_laxivenula,alive,3835,NA,NA,NA,NA
cf._Miconia_laxivenula_old_CR,CR11,FD1,7215,cf._Miconia_laxivenula,alive,3796,NA,NA,NA,NA
cf._Miconia_laxivenula_young_CR,CR01,UU1,7408,cf._Miconia_laxivenula,alive,4914,NA,NA,NA,NA
cf._Miconia_laxivenula_young_PR,PR36,UU2,1291.2,cf._Miconia_laxivenula,alive,4696,NA,NA,NA,NA
cf._Miconia_laxivenula_young_PR,PR36,UU2,1291.3,cf._Miconia_laxivenula,sapling,4697,NA,NA,NA,NA
Cf._Perebea_xanthochyma_young_CR,CR02,UU3,7302,Cf._Perebea_xanthochyma,alive,4034,NA,NA,NA,NA
cf._Tapura_coriaceae_old_CR,CR04,FD1,1502,cf._Tapura_coriaceae,alive,3711,NA,NA,NA,NA
cf._Tapura_coriaceae_old_CR,CR04,UD2,4039,cf._Tapura_coriaceae,alive,3658,NA,NA,NA,NA
cf._Tapura_coriaceae_old_CR,CR14,FD1,4305,cf._Tapura_coriaceae,alive,4771,NA,NA,NA,NA
cf._Tapura_coriaceae_old_PR,PR21,UD1,2010,cf._Tapura_coriaceae,alive,3689,NA,NA,NA,NA
Chomelia_tenuiflora_old_CR,CR11,UU2,7235,Chomelia_tenuiflora,alive,4153,NA,NA,NA,NA
Chomelia_tenuiflora_old_CR,CR10,FU2,4094,Chomelia_tenuiflora,alive,3986,NA,NA,NA,NA
Chomelia_tenuiflora_young_PR,PR29,UU1,7407,Chomelia_tenuiflora,alive,4918,NA,NA,NA,NA
Clusicaceae_old_CR,CR11,FD1,7216,Clusicaceae,alive,4157,NA,NA,NA,NA
Clusicaceae_old_PR,PR26,UD2,1186,Clusicaceae,sapling,3768,NA,NA,NA,NA
Clusicaceae_old_PR,PR26,UD2,1185,Clusicaceae,alive,3760,NA,NA,NA,NA
Coffea_sp_old_CR,CR07,UU4,7532,Coffea_sp,alive,4996,NA,NA,NA,NA
Coffea_sp_old_CR,CR07,UU2,7511,Coffea_sp,alive,4979,NA,NA,NA,NA
Coffea_sp_old_CR,CR07,UU3,7516,Coffea_sp,alive,4845,NA,NA,NA,NA
Coffea_sp_old_CR,CR07,UU4,7541,Coffea_sp,alive,4842,NA,NA,NA,NA
Coffea_sp_old_CR,CR07,UU3,7524,Coffea_sp,alive,4985,NA,NA,NA,NA
Coffea_sp_old_CR,CR07,UU2,7506,Coffea_sp,alive,4974,NA,NA,NA,NA
Coffea_sp_old_CR,CR07,UU4,7530,Coffea_sp,alive,4837,NA,NA,NA,NA
Coffea_sp_old_CR,CR07,UU3,7529,Coffea_sp,alive,4990,NA,NA,NA,NA
Coffea_sp_old_CR,CR07,UU3,7526,Coffea_sp,alive,4987,NA,NA,NA,NA
Coffea_sp_old_CR,CR07,UU3,7525,Coffea_sp,alive,4986,NA,NA,NA,NA
Coffea_sp_old_CR,CR07,UU3,7522,Coffea_sp,alive,4983,NA,NA,NA,NA
Coffea_sp_old_CR,CR07,UU3,7517,Coffea_sp,alive,4844,NA,NA,NA,NA
Coffea_sp_old_CR,CR07,UU3,7515,Coffea_sp,alive,4846,NA,NA,NA,NA
Coffea_sp_old_CR,CR07,UU4,7534,Coffea_sp,alive,4992,NA,NA,NA,NA
Coffea_sp_old_CR,CR07,UU3,7519,Coffea_sp,alive,4981,NA,NA,NA,NA
Coffea_sp_old_CR,CR07,UU4,7540,Coffea_sp,alive,4841,NA,NA,NA,NA
Coffea_sp_old_CR,CR07,UU3,7521,Coffea_sp,alive,4982,NA,NA,NA,NA
Coffea_sp_old_CR,CR07,UU2,7509,Coffea_sp,alive,4848,NA,NA,NA,NA
Coffea_sp_old_CR,CR07,UU4,7542,Coffea_sp,alive,4993,NA,NA,NA,NA
Coffea_sp_old_CR,CR07,UU2,7507,Coffea_sp,alive,4975,NA,NA,NA,NA
Coffea_sp_old_CR,CR07,UU3,7527,Coffea_sp,alive,4988,NA,NA,NA,NA
Coffea_sp_old_CR,CR07,UU2,7512,Coffea_sp,alive,4977,NA,NA,NA,NA
Coffea_sp_old_CR,CR07,UU3,7528,Coffea_sp,alive,4989,NA,NA,NA,NA
Coffea_sp_old_CR,CR07,UU2,7513,Coffea_sp,alive,4976,NA,NA,NA,NA
Coffea_sp_old_CR,CR07,UU3,7523,Coffea_sp,alive,4984,NA,NA,NA,NA
Coffea_sp_old_CR,CR07,UU2,7510,Coffea_sp,alive,4849,NA,NA,NA,NA
Coffea_sp_old_CR,CR07,UU4,7536,Coffea_sp,alive,4991,NA,NA,NA,NA
Conostegia_superba_old_CR,CR11,FD2,7229,Conostegia_superba,alive,4162,NA,NA,NA,NA
Conostegia_superba_old_CR,CR11,FD1,7217,Conostegia_superba,alive,4173,NA,NA,NA,NA
Conostegia_superba_old_CR,CR11,FD1,7218,Conostegia_superba,alive,4172,NA,NA,NA,NA
Couepia_subcordata_old_PR,PR21,FD1,3041,Couepia_subcordata,alive,3692,NA,NA,NA,NA
Croton_wagneri_old_PR,PR34,FD1,2880,Croton_wagneri,alive,4662,NA,NA,NA,NA
Dicot_001_OG,OG42,UU4,5134,Dicot_001,alive,3336,NA,NA,NA,NA
Dicot_001_OG,OG42,FU1,4174,Dicot_001,alive,3384,NA,NA,NA,NA
Dussia_lehmannii_OG,OG46,UU1,7129,Dussia_lehmannii,alive,4356,NA,NA,NA,NA
Dussia_lehmannii_OG,OG39,FU3,1453,Dussia_lehmannii,alive,3440,NA,NA,NA,NA
Elaeagea_sp_OG,OG39,FD2,7044.3,Elaeagea_sp,alive,3494,NA,NA,NA,NA
Elaeagea_sp_OG,OG39,FD2,7044.2,Elaeagea_sp,alive,3493,NA,NA,NA,NA
Elaeagea_sp_OG,OG39,FD2,7045,Elaeagea_sp,alive,3495,NA,NA,NA,NA
Elaeagea_sp_OG,OG39,FD2,7044.1,Elaeagea_sp,alive,3492,NA,NA,NA,NA
Eschweilera_caudiculata_old_PR,PR34,FU3,2075,Eschweilera_caudiculata,alive,4741,NA,NA,NA,NA
Eschweilera_rimbachii_young_PR,PR22,FU2,1379.1,Eschweilera_rimbachii,alive,3403,NA,NA,NA,NA
Eugenia_sp_(guayabillo)_old_CR,CR14,FD1,4306,Eugenia_sp_(guayabillo),alive,4770,NA,NA,NA,NA
Faramea_langlassei_OG,OG39,FU2,1447,Faramea_langlassei,alive,3531,3.236711111,0.124923333,23.1997108,339.7543945
Faramea_langlassei_OG,OG39,FU1,1437,Faramea_langlassei,alive,3431,3.236711111,0.124923333,23.1997108,339.7543945
Faramea_langlassei_OG,OG39,FU2,1445,Faramea_langlassei,alive,3533,3.236711111,0.124923333,23.1997108,339.7543945
Faramea_langlassei_old_CR,CR11,UU2,1734,Faramea_langlassei,alive,3833,NA,NA,NA,NA
Faramea_langlassei_old_PR,PR34,UD1,4347,Faramea_langlassei,alive,4672,2.406333333,0.145105556,25.10005486,276.1418436
Ficus_old_CR,CR10,FU1,7198,Ficus,alive,3980,NA,NA,NA,NA
