"Census","Plot","Treatment","Date","Morphotype","Total","Genus","plant_species","Source","DispersalSyndrome","DS_level","DS_source"
1,"PR34","C","19/07/22","M43",7,"Banara","Banara_guianensis","blast.sebas.class","zoochory","species","field_observation"
1,"PR34","CF","19/07/22","M43",1,"Banara","Banara_guianensis","blast.sebas.class","zoochory","species","field_observation"
1,"PR34","CF","19/07/22","M51",1,"Cecropia","Cecropia_utcubambana","vsearch.viri.class","zoochory","genus","field_observation/fruit morphology"
1,"PR34","D","19/07/22","M43",1,"Banara","Banara_guianensis","blast.sebas.class","zoochory","species","field_observation"
1,"PR34","D","19/07/22","M48",10,"Dendropanax","Dendropanax_macrophyllum","blast.sebas.class","zoochory","genus","Figueroa-Esquivel"
1,"PR36","C","19/07/22","M55",4,"Inga","Inga_ruiziana","blast.sebas.class","zoochory","species","field_observation"
1,"PR36","CF","19/07/22","M55",5,"Inga","Inga_ruiziana","blast.sebas.class","zoochory","species","field_observation"
1,"PR36","D","19/07/22","M7",1,"Cordia","Cordia_dwyeri","blast.sebas.class","zoochory","species","Tesis Gustavo Delgado Martínez"
1,"PR36","D","19/07/22","M43",10,"Banara","Banara_guianensis","blast.sebas.class","zoochory","species","field_observation"
1,"PR36","FD","19/07/22","M43",22,"Banara","Banara_guianensis","blast.sebas.class","zoochory","species","field_observation"
1,"OG49","C","20/07/22","M56",1,"Cecropia","Cecropia_insignis","blast.sebas.class","zoochory","species","field_observation"
1,"OG49","CF","20/07/22","M1",11,"Piper","Piper_pequeina","blast.sebas.class","zoochory","species","field_observation"
1,"OG41","CF","25/07/22","M18",1,"Piptocoma","Piptocoma_discolor","blast.sebas.class","anemochory","species","TRY"
1,"OG41","CF","25/07/22","M43",1,"Banara","Banara_guianensis","blast.sebas.class","zoochory","species","field_observation"
1,"OG41","CF","25/07/22","M48",1,"Dendropanax","Dendropanax_macrophyllum","blast.sebas.class","zoochory","genus","Figueroa-Esquivel"
1,"OG41","FD","25/07/22","M31",1,"Cordia","Cordia_dwyeri","blast.sebas.class","zoochory","species","Tesis Gustavo Delgado Martínez"
1,"PA54","FD","25/07/22","M48",1,"Dendropanax","Dendropanax_macrophyllum","blast.sebas.class","zoochory","genus","Figueroa-Esquivel"
1,"OG42","C","26/07/22","M49",1,"Ficus","Ficus_pertusa","blast.sebas.class","zoochory","species","field_observation"
1,"OG42","D","26/07/22","M7",2,"Cordia","Cordia_dwyeri","blast.sebas.class","zoochory","species","Tesis Gustavo Delgado Martínez"
1,"OG42","D","26/07/22","M51",3,"Cecropia","Cecropia_utcubambana","vsearch.viri.class","zoochory","genus","field_observation/fruit morphology"
1,"OG42","FD","26/07/22","M7",7,"Cordia","Cordia_dwyeri","blast.sebas.class","zoochory","species","Tesis Gustavo Delgado Martínez"
1,"OG42","FD","26/07/22","M43",1,"Banara","Banara_guianensis","blast.sebas.class","zoochory","species","field_observation"
1,"PR19","C","26/07/22","M43",5,"Banara","Banara_guianensis","blast.sebas.class","zoochory","species","field_observation"
1,"PR19","D","26/07/22","M1",37,"Piper","Piper_pequeina","blast.sebas.class","zoochory","species","field_observation"
1,"PR19","FD","26/07/22","M43",1,"Banara","Banara_guianensis","blast.sebas.class","zoochory","species","field_observation"
1,"CR02","C","27/07/22","M1",6,"Piper","Piper_pequeina","blast.sebas.class","zoochory","species","field_observation"
1,"CR02","C","27/07/22","M7",1,"Cordia","Cordia_dwyeri","blast.sebas.class","zoochory","species","Tesis Gustavo Delgado Martínez"
1,"CR02","C","27/07/22","M43",5,"Banara","Banara_guianensis","blast.sebas.class","zoochory","species","field_observation"
1,"CR02","CF","27/07/22","M11",1,"Hieronyma","Hieronyma_macrocarpa","blast.sebas.class","zoochory","genus","field_observation/fruit_morphology"
1,"CR02","CF","27/07/22","M43",2,"Banara","Banara_guianensis","blast.sebas.class","zoochory","species","field_observation"
1,"CR02","FD","27/07/22","M1",3,"Piper","Piper_pequeina","blast.sebas.class","zoochory","species","field_observation"
1,"CR13","C","27/07/22","M7",14,"Cordia","Cordia_dwyeri","blast.sebas.class","zoochory","species","Tesis Gustavo Delgado Martínez"
1,"CR13","C","27/07/22","M11",4,"Hieronyma","Hieronyma_macrocarpa","blast.sebas.class","zoochory","genus","field_observation/fruit_morphology"
1,"CR13","C","27/07/22","M31",1,"Cordia","Cordia_dwyeri","blast.sebas.class","zoochory","species","Tesis Gustavo Delgado Martínez"
1,"CR13","CF","27/07/22","M31",13,"Cordia","Cordia_dwyeri","blast.sebas.class","zoochory","species","Tesis Gustavo Delgado Martínez"
1,"CR13","CF","27/07/22","M51",2,"Cecropia","Cecropia_utcubambana","vsearch.viri.class","zoochory","genus","field_observation/fruit morphology"
1,"CR13","D","27/07/22","M12",1,NA,NA,"vsearch.viri.class",NA,NA,NA
1,"CR13","D","27/07/22","M15",1,"Ficus","Ficus_tonduzii","blast.sebas.class","zoochory","genus","field_observation/fruit_morphology"
1,"CR13","D","27/07/22","M29",1,"Annona","Annona_papilionella","blast.sebas.class","zoochory","species","TRY"
1,"CR13","D","27/07/22","M32",9,"Dendropanax","Dendropanax_macrophyllum","blast.sebas.class","zoochory","genus","Figueroa-Esquivel"
1,"CR13","FD","27/07/22","M15",1,"Ficus","Ficus_tonduzii","blast.sebas.class","zoochory","genus","field_observation/fruit_morphology"
1,"CR13","FD","27/07/22","M29",1,"Annona","Annona_papilionella","blast.sebas.class","zoochory","species","TRY"
1,"PA55","C","27/07/22","M57",1,"","","vsearch.viri.class","","",""
1,"PA55","CF","27/07/22","M58",1,"Endlicheria","Endlicheria_sp.1","blast.sebas.class","","",""
1,"PA55","D","27/07/22","M33",3,"Cecropia","Cecropia_insignis","blast.sebas.class","zoochory","species","field_observation"
1,"PA55","FD","27/07/22","M57",15,"","","vsearch.viri.class","","",""
1,"PR33","CF","27/07/22","M60",2,"","","vsearch.viri.class","","",""
1,"PR33","D","27/07/22","M61",3,"Cordia","Cordia_dwyeri","blast.sebas.class","zoochory","species","Tesis Gustavo Delgado Martínez"
1,"PR33","FD","27/07/22","M61",3,"Cordia","Cordia_dwyeri","blast.sebas.class","zoochory","species","Tesis Gustavo Delgado Martínez"
2,"CR06","C","29/07/22","M62",1,"Salacia","Salacia_juruana","blast.sebas.class","","",""
2,"CR06","CF","29/07/22","M7",1,"Cordia","Cordia_dwyeri","blast.sebas.class","zoochory","species","Tesis Gustavo Delgado Martínez"
2,"CR06","CF","29/07/22","M11",1,"Hieronyma","Hieronyma_macrocarpa","blast.sebas.class","zoochory","genus","field_observation/fruit_morphology"
2,"CR06","CF","29/07/22","M51",6,"Cecropia","Cecropia_utcubambana","vsearch.viri.class","zoochory","genus","field_observation/fruit morphology"
2,"CR06","CF","29/07/22","M59",1,"Cecropia","Cecropia_garciae","blast.sebas.class","zoochory","species","field_observation"
2,"CR06","D","29/07/22","M43",1,"Banara","Banara_guianensis","blast.sebas.class","zoochory","species","field_observation"
2,"CR06","D","29/07/22","M59",1,"Cecropia","Cecropia_garciae","blast.sebas.class","zoochory","species","field_observation"
2,"CR06","FD","29/07/22","M7",4,"Cordia","Cordia_dwyeri","blast.sebas.class","zoochory","species","Tesis Gustavo Delgado Martínez"
2,"CR06","FD","29/07/22","M10",1,"Naucleopsis","Naucleopsis_naga","blast.sebas.class","","",""
2,"CR06","FD","29/07/22","M11",1,"Hieronyma","Hieronyma_macrocarpa","blast.sebas.class","zoochory","genus","field_observation/fruit_morphology"
2,"CR06","FD","29/07/22","M12",1,NA,NA,"vsearch.viri.class",NA,NA,NA
2,"CR06","FD","29/07/22","M13",1,"Coussapoa","Coussapoa_contorta","blast.sebas.class","","",""
2,"PR23","C","29/07/22","M29",1,"Annona","Annona_papilionella","blast.sebas.class","zoochory","species","TRY"
2,"PR23","C","29/07/22","M55",1,"Inga","Inga_ruiziana","blast.sebas.class","zoochory","species","field_observation"
2,"PR23","CF","29/07/22","M11",3,"Hieronyma","Hieronyma_macrocarpa","blast.sebas.class","zoochory","genus","field_observation/fruit_morphology"
2,"PR23","CF","29/07/22","M31",7,"Cordia","Cordia_dwyeri","blast.sebas.class","zoochory","species","Tesis Gustavo Delgado Martínez"
2,"PR23","CF","29/07/22","M64",2,"Compsoneura","Compsoneura_mutisii","blast.sebas.class","zoochory","genus","genus/fruit morphology"
2,"PR23","D","29/07/22","M1",1,"Piper","Piper_pequeina","blast.sebas.class","zoochory","species","field_observation"
2,"PR23","D","29/07/22","M7",7,"Cordia","Cordia_dwyeri","blast.sebas.class","zoochory","species","Tesis Gustavo Delgado Martínez"
2,"PR23","D","29/07/22","M9",4,"Banara","Banara_guianensis","blast.sebas.class","zoochory","species","field_observation"
2,"PR23","D","29/07/22","M11",1,"Hieronyma","Hieronyma_macrocarpa","blast.sebas.class","zoochory","genus","field_observation/fruit_morphology"
2,"PR23","D","29/07/22","M29",1,"Annona","Annona_papilionella","blast.sebas.class","zoochory","species","TRY"
2,"PR23","FD","29/07/22","M55",1,"Inga","Inga_ruiziana","blast.sebas.class","zoochory","species","field_observation"
2,"PR23","FD","29/07/22","M60",6,"","","vsearch.viri.class","","",""
2,"PR26","C","29/07/22","M1",1,"Piper","Piper_pequeina","blast.sebas.class","zoochory","species","field_observation"
2,"PR26","C","29/07/22","M63",1,"Ficus","Ficus_pertusa","blast.sebas.class","zoochory","species","field_observation"
2,"PR26","CF","29/07/22","M7",6,"Cordia","Cordia_dwyeri","blast.sebas.class","zoochory","species","Tesis Gustavo Delgado Martínez"
2,"PR26","CF","29/07/22","M11",2,"Hieronyma","Hieronyma_macrocarpa","blast.sebas.class","zoochory","genus","field_observation/fruit_morphology"
2,"PR26","FD","29/07/22","M26",47,"Cecropia","Cecropia_garciae","blast.sebas.class","zoochory","species","field_observation"
2,"CR04","FD","01/08/22","M8",1,"Quararibea","Quararibea_casasecae","blast.sebas.class","","",""
2,"CR04","FD","01/08/22","M37",1,"Pouteria","Pouteria_caimito","blast.sebas.class","zoochory","species","TRY"
2,"OG38","CF","01/08/22","M10",2,"Naucleopsis","Naucleopsis_naga","blast.sebas.class","","",""
2,"OG38","CF","01/08/22","M46",1,"Sciodaphyllum","Sciodaphyllum_pedicillatum","blast.sebas.class","","",""
2,"OG39","C","01/08/22","M43",1,"Banara","Banara_guianensis","blast.sebas.class","zoochory","species","field_observation"
2,"OG39","CF","01/08/22","M17",1,"Pouteria","Pouteria_caimito","blast.sebas.class","zoochory","species","TRY"
2,"OG39","CF","01/08/22","M27",1,"Nectandra","Nectandra_paucinervia","blast.sebas.class","zoochory","genus","field_observation"
2,"OG39","D","01/08/22","M65",2,"Compsoneura","Compsoneura_mutisii","blast.sebas.class","zoochory","genus","genus/fruit morphology"
2,"OG39","FD","01/08/22","M65",2,"Compsoneura","Compsoneura_mutisii","blast.sebas.class","zoochory","genus","genus/fruit morphology"
