"Treatment3","Plot_ID","RegTime","ConIndex","FDBees","FC1Bees","FC2Bees","FDMoths","FC1Moths","FC2Moths","FDBat_pol","FC1Bat_pol","FC2Bat_pol","FDBats","FC1Bats","FC2Bats","FDBirds","FC1Birds","FC2Birds","FDNf","FC1Nf","FC2Nf"
"old-growth forest","OG43",55,0.270765030061606,1.28212666894996,0.198395884280522,0.455573928741269,0.926715177340847,-0.102499242574277,-0.0729378061664616,NA,NA,NA,0.850798148004449,-0.17311380536291,0.239415370825268,1.32474883217239,0.685345521974786,0.0468445082455076,1.59512967957884,0.329166142323388,1.30781536116887
"old-growth forest","OG44",55,1.21691554706138,1.20522167213058,0.948694850408968,0.85245059130144,1.76269620003173,-0.752141427843328,0.225608418061237,NA,NA,NA,0.869796962578739,-0.759411466599372,-0.435052707093893,1.00116281161522,0.797384730363242,-0.690664929667094,NA,NA,NA
"old-growth forest","OG45",55,0.881646325833021,1.11072747510638,0.511624723513215,0.118566678502756,0.702396591190158,-0.222627758211172,0.311824621476586,NA,NA,NA,0.498898448628295,0.1368758802618,0.324580627239397,0.857073076661838,0.468034178810743,0.120996387217247,1.22269251080759,-0.900439454673795,0.408413976634301
"old-growth forest","OG46",55,1.44534900518888,1.39752368867076,0.305501142328357,0.0700239798882381,0.479538134775402,-0.424101540440233,0.330931373855282,NA,NA,NA,0.871217337857792,-0.0134659220815131,-0.698845705607548,2.0066844449597,2.08869557946206,1.08995916469396,NA,NA,NA
"old-growth forest","OG47",55,0.314499390465041,1.06258663216358,0.13425410170896,-0.0504167922186214,0.820496219889697,-0.363060291555415,-0.0433835455387237,NA,NA,NA,0.834861763868713,-0.44802462191398,0.111533888403917,1.36984765599917,1.91424879176549,-0.162559415259746,1.14736710652073,0.940942050858239,-0.477913352843779
"old-growth forest","OG48",55,1.726701983022,0.846588254222718,0.362924558587376,0.359470098844835,1.66711224485514,-0.293078792749554,-0.569456726042688,1.1946935250109,-0.0438977785954949,-0.801615314466405,0.674274065373726,-0.179731032966767,-0.135250467094124,1.28708732346542,1.18705294205661,0.245335289446752,0.595194612197569,-0.289490535557713,-0.110672271081864
"old-growth forest","OG49",55,1.65147895283812,1.13825956094085,0.290331287218342,0.332023951277741,1.27082733437774,-0.650936797752069,-0.240129683981164,1.42370516541828,-0.19805603695309,1.16535417038104,0.977753515053126,0.0804743596328306,0.525461926276585,2.10115733837232,-0.401601467863005,-0.17936254776085,0.809398327500709,0.474334646631558,-0.194517019819507
"old-growth forest","OG50",55,1.31375751145613,0.96028419559379,0.0223692380130239,0.349000006607616,0.483129100641144,-0.146366877098778,0.392132584631676,NA,NA,NA,0.822094615341073,0.0145380911026993,-0.0211894723278834,1.48806613829769,0.868707155086142,0.291440548707053,1.19401185134886,-0.368669898691747,0.165361314014851
"old-growth forest","OG51",55,0.939315725653571,0.97649659696628,-0.431186911588949,0.263366713678177,0.668994267112825,-0.228313267093256,0.0509792559078773,NA,NA,NA,0.993185101175635,-0.253392860140261,0.311880840119764,1.56081837205316,1.65040706646503,0.259402982858739,0.908388879661552,0.82142487034556,-0.00417578691157841
"old-growth forest","OG52",55,0.94478490195791,1.44836806303784,0.123857476592175,0.0352636234556975,0.994444146846808,-0.0214162615720911,-0.120642147801515,NA,NA,NA,1.15817284415436,0.211288602809514,0.450076075995363,1.98891890972722,1.2510544934416,0.622957427524917,0.830901647957826,0.688456872757241,-0.500397965737686
"regeneration early","PA53",0,0.321021193602673,1.44483740904441,-0.456107741399487,-0.624646419615049,1.09241456411341,0.107800126587328,0.199566830554175,NA,NA,NA,0.849568685519655,-0.233476410176432,-0.400447877805161,0.621186852066098,-0.939707845545195,-0.373244900502552,NA,NA,NA
"regeneration early","PA54",0,-0.367146515997464,1.51880932241772,0.300308460811367,0.116765497813176,1.57415264501898,0.142101000187663,-0.212344558578897,1.04628536426756,-0.657683801787395,0.811698459316143,1.07101801586386,0.0161976999268132,0.682482825464272,NA,NA,NA,NA,NA,NA
"regeneration early","PA55",0,0.451292569377238,1.5720408204221,-0.0181900534948933,0.0407429052466248,0.815190852834673,0.0754137731230917,0.00460024264054291,NA,NA,NA,1.17157974533576,0.350059586634568,0.306751357923802,NA,NA,NA,NA,NA,NA
