"animal_species","prLength","bodyLength","wingLength","Genus"
"Hypocrita_sp_905",11.39,15.84,29.795,"Hypocrita"
"Idalus_carinosa_933",8.475,12.855,14.92,"Idalus"
"Idalus_cf_aleteria_932",8,19.49,20.97,"Idalus"
"Idalus_nr_sublineata_936",9.79,13.98,18.69,"Idalus"
"Idalus_tybris_937",8.68,17.35,18.955,"Idalus"
"Isanthrene_meridensis_831",8.37,14.855,16.995,"Isanthrene"
"Isanthrene_sp_832",7.875,13.6,15.59,"Isanthrene"
"Ischnognatha_nr_leucapera_939",10.41,16,16.54,"Ischnognatha"
"Isognathus_scyron_106",32.35,36.95,34.29,"Isognathus"
"Isostola_cf_nigrivenata_1375",NA,21.25,23.94,"Isostola"
"Kirrostola_metaxantha_gr_940/941",8.555,12.6,13.4266666666667,"Kirrostola"
"Lophocampa_sp_1357",7.76,13.62,19.17,"Lophocampa"
"Lophocampa_sp_943",8.515,13.345,16.87,"Lophocampa"
"Lophocampa_sp_944",5.98,12.1133333333333,14.48,"Lophocampa"
"Lophocampa_sp_945",7.76,11.08,15.085,"Lophocampa"
"Loxophlebia_cf_flavipicta_1253",8,8.995,9.3,"Loxophlebia"
"Loxophlebia_cf_semifulva_997",8,9.42,9.79,"Loxophlebia"
"Loxophlebia_sp_1272",6.98,10.168,11.458,"Loxophlebia"
"Lycomorphodes_correbiodes_gr_2096",3.04333333333333,6.3,8.44666666666667,"Lycomorphodes"
"Macrocneme_semiviridis_219",8.04,14.68,17.965,"Macrocneme"
"Macrocneme_sp_833",8.04,13.88,16.98,"Macrocneme"
"Macroptila_sp_857",8.1,10.7083333333333,16.4933333333333,"Macroptila"
"Manduca_dalica_107",96.09,49.25,52.495,"Manduca"
"Manduca_florestan_112",69.38,46.445,51.1,"Manduca"
"Manduca_peggyae_108",32.68,47.39,47.44,"Manduca"
"Manduca_sp_140",61.8,39.81,47.11,"Manduca"
"Manduca_sp_141",64.96,42.22,47.99,"Manduca"
"Manduca_sp_142",60.4,45.83,49.96,"Manduca"
"Melese_cf_asana_1041",8.07,12.3533333333333,13.7433333333333,"Melese"
"Melese_cf_incertus_1044",7.65833333333333,11.87,13.625,"Melese"
"Melese_nr_intensa_948",11.2233333333333,16.65,20.4025,"Melese"
"Melese_nr_laodamia_947",7.93,14.555,16.035,"Melese"
"Melese_sp_1023",8.17,12.36,13.12,"Melese"
"Melese_sp_946",8.17,11.77,11.87,"Melese"
"Melese_sp_949",8.53694444444444,13.18,15.66,"Melese"
"Munona_sp_934",7.42,14.18,23.53,"Munona"
"Napata_leucotelus_847",NA,11.21,13.98,"Napata"
"Ochrodota_pronapioides_951",4.56,9.44,13.405,"Ochrodota"
