"Treatment3","Plot_ID","RegTime","ConIndex","StrIndex","FDBees","FC1Bees","FC2Bees","FDMoths","FC1Moths","FC2Moths","FDBat_pol","FC1Bat_pol","FC2Bat_pol","FDBats","FC1Bats","FC2Bats","FDBirds","FC1Birds","FC2Birds","FDNf","FC1Nf","FC2Nf"
"regeneration early","CR05",12,-1.79490125591236,-0.252882283903603,0.969149212310417,-0.0336126214662522,0.0602243733631368,NA,NA,NA,1.56216843105923,-0.117631688177436,1.59169062158587,1.14749803050988,0.212241508886369,0.0414344099350898,1.25697801238731,0.260281152155984,0.124398782246331,NA,NA,NA
"regeneration late","CR06",33,-1.73218277886945,0.795783313223836,1.00671334626851,0.518441228440466,-0.130787964437699,0.7209264828641,-0.0289603369441427,-0.325960430068865,NA,NA,NA,1.34011071394804,-0.133182344842309,0.0763304396704938,1.24214762848302,0.936639416582271,-0.650444066564998,NA,NA,NA
"regeneration late","CR07",23,-0.373881393972526,0.325037319377057,0.845815274129965,0.663288228732957,0.155461030350284,0.493194693939192,-0.489013981675203,-0.358734639906937,NA,NA,NA,1.13806578558461,0.465974368152578,-0.535437186416595,0.971839911580086,-0.0793239606388319,-0.527677814549541,NA,NA,NA
"regeneration late","CR08",27,-0.29524856031422,0.533721846719812,1.18345733215039,0.73082124808222,-0.333707492827192,1.26898538919803,0.689396031116192,0.0834512158849474,1.37998104859573,-0.0839911685746422,1.10708214865249,1.50622188889507,0.516729046290008,0.209361396266277,0.826296329568584,-0.537846210136373,-0.348290095400097,0.812457078630088,-0.730036172046022,0.516256257275817
"regeneration early","CR09",6,-1.31917759536642,0.0484734337720959,1.41330481058383,-0.259450272231343,-0.244972514586979,NA,NA,NA,NA,NA,NA,1.16822023153922,-0.531726414615057,-0.991434076477761,0.210375010323648,-0.697895902994434,-0.387465318832775,NA,NA,NA
"regeneration late","CR10",24,0.891535636789829,0.526198840419044,1.2632344076721,-0.473616009804493,-0.110433787208905,0.824419407203656,-0.591876134536726,-0.375611863021537,0.402967059435604,-0.0630450985623128,-0.383511879123784,0.772047375912345,0.142969041811602,-0.877711567713571,1.22927631094286,0.520218704722429,-0.447739459733329,0.365687392900454,0.131992001612598,-0.23751589350783
"regeneration late","CR11",23,0.744747637971259,0.411982463273741,1.38128511606631,0.907109484906801,0.0066850152569595,1.02882902481838,0.287384521223338,0.109535003095797,NA,NA,NA,0.888026333865332,-0.248944598992072,-0.225120520783571,1.51676326533558,-0.446447536592577,0.353953627861563,NA,NA,NA
"regeneration late","CR12",15,-0.462844006748105,0.113989394230726,0.74965245926263,0.445184428889348,-0.424204334380157,NA,NA,NA,NA,NA,NA,0.755728502749777,-0.491946069111314,-0.233435631862356,0.675903549585409,-0.439953210774375,0.0298242800123584,NA,NA,NA
"regeneration early","CR13",1,-0.081823851489857,-0.688776061070309,1.38592217285512,0.298496394289957,-0.277664925628922,2.02756612865061,0.0134964826764203,1.17858923812968,0.983633386807128,-0.178948387723168,1.00271961376732,1.28735886771606,0.300593800592714,-0.777897256502863,1.0394228947537,-1.13836346434681,0.222581102027162,2.08879769739752,1.0730924155518,-0.594807790594435
"regeneration late","CR14",38,1.09414405647911,0.836432396858121,1.50894062751801,0.0644023384685539,-0.454458955658431,0.796347173220579,0.191711097134576,-0.209570666550914,0.772804655838995,0.0691374772541217,-0.33907139178935,NA,NA,NA,1.75361080168082,0.0148637272204768,1.59410260529987,0.252636917693882,-0.296065333480168,0.160668876650148
