"Plot_ID","PREX","Matrix","Latitude","Longitude","Elevation","Treatment","Treatment2","Regeneration_year","RegTime","VerticalVH","Max_tree_height","AGB_all","AGB_wild","sr_all","sr_wild","Forest_1km","Forest_500m","Forest_100m","Distance_forest","Distance_edge","Patch_ha","Cacao_1km","Cacao_Reg1_1km","Cacao_Reg2_1km","Pasture_1km","Pasture_Reg1_1km","Pasture_Reg2_1km","Treatment3"
"CR08",NA,NA,0.4592528,-79.21039418,172,"cacao regeneration","cacao regeneration late",1996,27,1.714719567,29.2,167.0855513,165.4240061,41,40,0.532030468,0.658700718,0.138152328,49.99140008,0,5.706170442,0.036956712,0,0.030121228,0.106187601,0.003784236,0.057978616,"regeneration late"
"CR09","PREX",NA,0.47247446,-79.229619,159,"cacao regeneration","cacao regeneration early",2017,6,1.568565198,26.24,58.5745976,51.72222441,21,19,0.324256687,0.439749031,0.513991744,39.94555503,0,1.069060008,0.082497909,0.003403374,0,0.112242727,0.288381125,0.20498487,"regeneration early"
"CR10","PREX",NA,0.4771745,-79.1995872,347,"cacao regeneration","cacao regeneration late",1999,24,1.746986774,27.76,170.7983724,168.6574827,50,48,0.966420308,0.918538672,0.515854004,25.04409463,0,1.550152411,0,0,0.009881687,0.006952204,0,0.016745801,"regeneration late"
"CR11","PREX",NA,0.47789256,-79.20507128,372,"cacao regeneration","cacao regeneration late",2000,23,1.715221176,28.94,94.23183823,93.85531989,47,45,0.899698718,0.913218376,0.631031913,36.46924161,0,1.55386041,0,0,0.013630359,0,0,0.086670923,"regeneration late"
"CR12",NA,NA,0.48018456,-79.21406337,324,"cacao regeneration","cacao regeneration late",2008,15,1.791410048,21.12,51.95116012,50.2378282,33,31,0.747679483,0.195127888,0,157.6304012,0,4.283622553,0.001597113,0,0.013736117,0,0,0.236987282,"regeneration late"
"CR13","PREX",NA,0.48892263,-79.22616164,366,"cacao regeneration","cacao regeneration early",2022,1,1.442341074,16.36,17.0283351,11.58908761,12,10,0.779537585,0.821256337,0.525443333,38.53006813,0,3.211387969,0.044442379,0.010223518,0,0.03206935,0.010248044,0.130339051,"regeneration early"
"CR14","PREX",NA,0.49816025,-79.13850116,529,"cacao regeneration","cacao regeneration late",1985,38,1.937764031,29.72,168.0342594,168.0342594,80,80,0.986181829,0.962890433,0.832189237,22.71858891,0,0.526504932,0,0,0.001676139,0.001738635,0,0.0104034,"regeneration late"
"CR16",NA,NA,0.51074639,-79.14442928,479,"cacao regeneration","cacao regeneration early",2015,8,1.472184258,16.14,23.64868649,22.0126973,21,20,0.845492002,0.659104745,0.290004195,43.87424496,0,0.818761022,0,0.006736194,0,0.035813381,0,0.111958406,"regeneration early"
"CR17",NA,NA,0.51478038,-79.14413909,450,"cacao regeneration","cacao regeneration early",2014,9,1.630824114,23.84,62.35504886,61.51017183,43,42,0.861843995,0.599264901,0.242390779,49.1178021,0,1.297196727,0,0.006736194,0,0.011357024,0,0.120062786,"regeneration early"
"CR18",NA,NA,0.53991814,-79.14419755,331,"cacao regeneration","cacao regeneration early",2013,10,1.554712817,28.56,88.06753678,86.26249171,41,40,0.850360304,0.666614535,0.746372597,25.59525606,0,0.275991643,0.031114045,0.000878625,0,0.057316643,0.060330387,0,"regeneration early"
"OG28",NA,NA,0.46440563,-79.21261431,224,"old-growth forest","old-growth forest",NA,55,1.757592234,37.26,411.4047944,411.4047944,63,63,0.649580102,0.539588986,0.988279875,0,85.202771,0,0.027738251,0,0.030121228,0.221008357,0,0.064502731,"old-growth forest"
"OG37",NA,NA,0.49819185,-79.17924819,550,"old-growth forest","old-growth forest",NA,55,1.924960915,33.96,482.5621131,482.5621131,66,66,0.750131575,0.668065308,0.999999851,0,122.8745811,0,0,0.001567733,0,0,0.168527039,0.079773657,"old-growth forest"
"OG38","PREX",NA,0.51305713,-79.19321874,535,"old-growth forest","old-growth forest",NA,55,1.7842487,27.56,167.7737005,167.7737005,64,64,0.87414055,0.969796705,0.999999791,0,403.353897,0,0,0,0.005927712,0.052793664,0.036097582,0.031096883,"old-growth forest"
"OG39","PREX",NA,0.52155163,-79.19538539,576,"old-growth forest","old-growth forest",NA,55,1.883757237,32.98,331.3219719,331.3219719,64,64,0.966609861,0.99999996,0.999999759,0,780.6851713,0,0.017780689,0,0,0.001702774,0,0.013906684,"old-growth forest"
"OG40",NA,NA,0.52772307,-79.1724196,531,"old-growth forest","old-growth forest",NA,55,1.814715111,38.68,568.3411123,568.3411123,73,73,0.988580058,0.999999965,0.999999888,0,723.9292806,0,0,0,0,0.00262418,0.008795758,0,"old-growth forest"
"OG41","PREX",NA,0.52981297,-79.18850563,389,"old-growth forest","old-growth forest",NA,55,1.931368284,39.74,554.0874229,554.0874229,68,68,0.863130262,0.946224536,0.999999865,0,214.004796,0,0.018177366,0,0,0.027217904,0.08604252,0.005431951,"old-growth forest"
"OG42","PREX",NA,0.53843029,-79.17462078,356,"old-growth forest","old-growth forest",NA,55,1.799954089,42.3,269.0316384,268.9615167,90,89,0.763387608,0.837017918,0.999999775,0,188.464507,0,0.033413827,0,0,0.113222574,0.048567408,0.041469765,"old-growth forest"
"OG43",NA,NA,0.46447835,-79.21007388,238,"old-growth forest","old-growth forest",NA,55,1.889782919,36.62,506.1701939,506.1701939,76,76,0.686117013,0.787678455,0.99999976,0,147.8222148,0,0.036124784,0,0.030121228,0.17619078,0,0.064340911,"old-growth forest"
"OG44",NA,NA,0.47434948,-79.19810902,339,"old-growth forest","old-growth forest",NA,55,1.943601218,34.78,387.6716635,387.2873576,85,84,0.934859506,0.977351942,0.999999602,0,302.6795587,0,0,0,0.009881687,0.038513012,0,0.016745801,"old-growth forest"
"OG45","PREX",NA,0.47786124,-79.20347555,362,"old-growth forest","old-growth forest",NA,55,1.855436233,31.28,325.7296576,325.7296576,90,90,0.931709312,0.895027054,0.725035937,0,35.81111942,0,0,0,0.009881687,0,0,0.058409002,"old-growth forest"
"OG46","PREX",NA,0.47797846,-79.19469459,288,"old-growth forest","old-growth forest",NA,55,1.850355458,33.96,300.6303053,300.6303053,72,72,0.980935664,0.996507925,0.999999768,0,463.8968601,0,0,0,0.004934941,0.001570218,0,0.012559178,"old-growth forest"
"OG47",NA,NA,0.48465799,-79.21398287,355,"old-growth forest","old-growth forest",NA,55,1.933310929,33.74,171.0831043,171.0831043,71,71,0.748877899,0.653391803,0.955818599,0,82.05557206,0,0.001597113,0,0.013636998,0,0,0.235887987,"old-growth forest"
"OG48",NA,NA,0.53088989,-79.14462944,299,"old-growth forest","old-growth forest",NA,55,1.830056977,39.48,420.4535835,420.4535835,61,61,0.998221121,1,0.999999758,0,942.6326571,0,0.000612661,0.000438851,0,0.000727372,0,0,"old-growth forest"
"OG49","PREX",NA,0.5315347,-79.14780642,310,"old-growth forest","old-growth forest",NA,55,1.897939386,37.04,324.1274463,324.1274463,61,61,0.98936996,0.999999946,0.999999656,0,858.3926876,0,0.004224704,0.000236995,0,0.006167703,6.38e-07,0,"old-growth forest"
"OG50",NA,NA,0.53403036,-79.14419137,316,"old-growth forest","old-growth forest",NA,55,1.834539054,30.2,191.4274751,191.4274751,78,78,0.932094539,0.999999961,0.99999985,0,607.9661746,0,0.01923022,0.000878625,0,0.017137059,0.030659553,0,"old-growth forest"
"OG51",NA,NA,0.55223173,-79.1374752,228,"old-growth forest","old-growth forest",NA,55,1.869189266,38.24,429.8627213,429.8627213,50,50,0.828437335,0.969384032,0.999999722,0,413.9921516,0,0,0,0,0.101275302,0.028061313,0.042226049,"old-growth forest"
"OG52","PREX",NA,0.54567888,-79.13756064,225,"old-growth forest","old-growth forest",NA,55,1.892563007,36.4,254.1117157,254.1117157,64,64,0.875339898,0.946068453,0.999999755,0,221.0000864,0,0.003657724,0.000830739,0,0.038544299,0.081627348,0,"old-growth forest"
"PA53",NA,NA,0.49585202,-79.20737699,510,"active pasture","active pasture",NA,0,1.321049386,10.16,0.841213518,0.841213518,4,4,0.87277555,0.818932111,0.089739764,71.47299121,0,0.102569074,0,0,0,0.050994152,0.056935699,0.019294605,"regeneration early"
"PA54","PREX",NA,0.53626858,-79.18830126,207,"active pasture","active pasture",NA,0,0,16.34,9.20964181,8.693402568,5,3,0.773821047,0.425785345,0.005742252,92.24954068,0,10.67252448,0.051746455,0,0,0.040707575,0.118137042,0.015598571,"regeneration early"
"PA55","PREX",NA,0.4976111,-79.22452241,426,"active pasture","active pasture",NA,0,0.657924647,13.85,1.708513739,1.364072974,3,2,0.919572136,0.893147786,0.44915516,8.4853781,0,4.690220063,0,0.011051037,0,0.05122526,0.017930244,0.000221318,"regeneration early"
"PA56",NA,NA,0.511023,-79.228523,430,"active pasture","active pasture",NA,0,0.577848501,9.1,1.238515463,1.238515463,5,5,0.742455793,0.538037565,0.013130901,85.73178347,0,3.038454723,0.084260567,0.003435431,0,0.062802509,0.047893439,0.022138018,"regeneration early"
"PA57","PREX",NA,0.51139197,-79.20887752,375,"active pasture","active pasture",NA,0,0.272247893,21.6,13.04157154,13.04157154,5,5,0.244258979,0.217018436,0.246129544,16.37455007,0,11.95958147,0.176088717,0.015250496,0.00015894,0.357476023,0.058229229,0.149087175,"regeneration early"
"PA58",NA,NA,0.543056,-79.153322,243,"active pasture","active pasture",NA,0,0,21.84,21.04557469,21.04557469,6,6,0.690245313,0.604625866,0.06850847,40.25523651,0,24.17892694,0.04726932,0,0,0.094795341,0.104371815,0.063413652,"regeneration early"
"PR19","PREX",NA,0.55271929,-79.17482117,177,"pasture regeneration","pasture regeneration early",2017,6,1.312549899,19.14,25.58940325,25.58940325,18,18,0.371361597,0.337802595,0.178512813,56.77059961,0,6.554910916,0.059119232,0,0,0.251722004,0.02086769,0.36033114,"regeneration early"
"PR20",NA,NA,0.49670321,-79.1716609,540,"pasture regeneration","pasture regeneration early",2019,4,0.765501778,5.04,0.572228461,0.572228461,2,2,0.734857309,0.465423654,0,142.7084767,0,22.17155777,0,0.001567733,0,0,0.224346859,0.039228098,"regeneration early"
"PR21","PREX",NA,0.50802424,-79.18995397,560,"pasture regeneration","pasture regeneration late",1987,36,1.82903324,26.12,153.3002123,153.3002123,65,65,0.956612227,0.962725915,0.722134285,21.16521729,0,1.064727193,0,0,0.005927712,0.00127244,0.024087734,0.012099878,"regeneration late"
"PR22","PREX",NA,0.50939341,-79.20450746,400,"pasture regeneration","pasture regeneration early",2011,12,1.375102627,23.12,62.45467058,62.45467058,24,24,0.423040809,0.368217653,0,105.8188659,0,7.753099362,0.078278608,0.015250496,0,0.308309303,0.10432912,0.070994375,"regeneration early"
"PR23","PREX",NA,0.5107801,-79.23206464,415,"pasture regeneration","pasture regeneration early",2022,1,1.266397643,13.62,6.892374954,6.892374954,7,7,0.768312353,0.620545339,0.288554239,30.92214386,0,1.687798405,0.027136288,0.004644053,0,0.047443414,0.090107916,0.02526499,"regeneration early"
"PR24",NA,NA,0.52082042,-79.21365335,381,"pasture regeneration","pasture regeneration late",2002,21,1.871864472,31,157.2817128,157.2817128,60,60,0.38765685,0.374291755,0.430168123,22.19631397,0,5.074807528,0.15513196,0.017342591,0.002048067,0.192559022,0.07548174,0.170480309,"regeneration late"
"PR25",NA,NA,0.49555762,-79.17642012,544,"pasture regeneration","pasture regeneration early",2017,6,1.113992506,6.02,0.854490509,0.854490509,4,4,0.782270019,0.362215293,0,201.5191044,0,25.51887169,0,0.001567733,0,0,0.168986605,0.047175639,"regeneration early"
"PR26","PREX",NA,0.52646596,-79.20464664,325,"pasture regeneration","pasture regeneration late",1995,28,1.649689237,20.44,53.49907764,53.31575764,34,32,0.843189672,0.900683371,0.75521198,25.02999277,0,0.780134236,0.04515698,0.015810397,0.002045598,0,0,0.093797355,"regeneration late"
"PR27",NA,NA,0.46185094,-79.2093188,214,"pasture regeneration","pasture regeneration late",1996,27,1.592049842,23.2,68.64231969,68.64231969,37,37,0.645287042,0.672588293,0.386886346,50.1979161,0,5.226999851,0.036956712,0,0.030121228,0.139738476,0.008782214,0.05769322,"regeneration late"
"PR29",NA,NA,0.47292046,-79.23064005,173,"pasture regeneration","pasture regeneration early",2017,6,1.435761908,21.38,39.33975377,38.97654328,15,14,0.299628418,0.335889899,0.29465127,36.9171662,0,1.237950927,0.087205141,0.003403374,0,0.115018223,0.317954042,0.191841557,"regeneration early"
"PR30",NA,NA,0.47500835,-79.22913433,219,"pasture regeneration","pasture regeneration late",2008,15,1.666489422,27.88,61.60926448,61.60926448,30,30,0.419289019,0.491746605,0.194061557,41.53222265,0,5.068008497,0.105784488,0.003403374,0,0.100790965,0.219224609,0.172857043,"regeneration late"
"PR31","PREX",NA,0.47902624,-79.21005517,316,"pasture regeneration","pasture regeneration late",2007,16,1.796215691,30.02,140.8203391,140.8203391,50,50,0.754393011,0.666884165,0.30622901,39.34879655,0,27.54875073,0,0,0.018583744,0,0,0.22702324,"regeneration late"
"PR32",NA,NA,0.47927521,-79.21729879,339,"pasture regeneration","pasture regeneration late",2007,16,1.685077254,21.9,58.81004871,58.69512562,38,37,0.691699237,0.336430602,0,174.449303,0,46.70697643,0.009443676,0,0.013636998,0,0,0.292095382,"regeneration late"
"PR33","PREX",NA,0.48924515,-79.22841178,311,"pasture regeneration","pasture regeneration early",2022,1,1.052204486,9.3,2.28733233,2.28733233,9,9,0.699933313,0.735311297,0.561268028,23.11585947,0,1.212158041,0.045158373,0.010223518,0,0.06855042,0.010248044,0.17072379,"regeneration early"
"PR34","PREX",NA,0.49350932,-79.13794296,615,"pasture regeneration","pasture regeneration late",1985,38,1.75875446,50,171.0476717,171.0476717,68,68,0.888001936,0.957518656,0.587868477,24.54013944,0,3.267871484,0,0,0.001676139,0.045529234,0,0.064792691,"regeneration late"
"PR36","PREX",NA,0.5165012,-79.14308334,380,"pasture regeneration","pasture regeneration early",2014,9,1.698149216,20.98,76.44877939,76.40301493,19,18,0.865253042,0.661281216,0.324368277,35.06537855,0,20.53949221,0,0.006736194,0,0.007947972,0,0.120062786,"regeneration early"
