"Plot_ID","Species_name","RegTime","Treatment2","Treatment3"
"CR14","Cestrum_schlechtendalii",38,"cacao regeneration late","regeneration late"
"CR09","Banara",6,"cacao regeneration early","regeneration early"
"CR09","Banara",6,"cacao regeneration early","regeneration early"
"CR13","Banara",1,"cacao regeneration early","regeneration early"
"OG45","Licania_celiae",55,"old-growth forest","old-growth forest"
"OG45","Licania_celiae",55,"old-growth forest","old-growth forest"
"CR11","Miconia_laxivenula",23,"cacao regeneration late","regeneration late"
"CR11","Miconia_laxivenula",23,"cacao regeneration late","regeneration late"
"CR11","Miconia_laxivenula",23,"cacao regeneration late","regeneration late"
"CR01","Miconia_laxivenula",6,"cacao regeneration early","regeneration early"
"PR36","Miconia_laxivenula",9,"pasture regeneration early","regeneration early"
"PR36","Miconia_laxivenula",9,"pasture regeneration early","regeneration early"
"CR02","Perebea_xanthochyma",8,"cacao regeneration early","regeneration early"
"CR04","Tapura_coriaceae",21,"cacao regeneration late","regeneration late"
"CR04","Tapura_coriaceae",21,"cacao regeneration late","regeneration late"
"CR14","Tapura_coriaceae",38,"cacao regeneration late","regeneration late"
"PR21","Tapura_coriaceae",36,"pasture regeneration late","regeneration late"
"CR11","Chomelia_tenuiflora",23,"cacao regeneration late","regeneration late"
"CR10","Chomelia_tenuiflora",24,"cacao regeneration late","regeneration late"
"PR29","Chomelia_tenuiflora",6,"pasture regeneration early","regeneration early"
"CR11","Clusicaceae",23,"cacao regeneration late","regeneration late"
"PR26","Clusicaceae",28,"pasture regeneration late","regeneration late"
"PR26","Clusicaceae",28,"pasture regeneration late","regeneration late"
"CR07","Coffea_sp",23,"cacao regeneration late","regeneration late"
"CR07","Coffea_sp",23,"cacao regeneration late","regeneration late"
"CR07","Coffea_sp",23,"cacao regeneration late","regeneration late"
"CR07","Coffea_sp",23,"cacao regeneration late","regeneration late"
"CR07","Coffea_sp",23,"cacao regeneration late","regeneration late"
"CR07","Coffea_sp",23,"cacao regeneration late","regeneration late"
"CR07","Coffea_sp",23,"cacao regeneration late","regeneration late"
"CR07","Coffea_sp",23,"cacao regeneration late","regeneration late"
"CR07","Coffea_sp",23,"cacao regeneration late","regeneration late"
"CR07","Coffea_sp",23,"cacao regeneration late","regeneration late"
"CR07","Coffea_sp",23,"cacao regeneration late","regeneration late"
"CR07","Coffea_sp",23,"cacao regeneration late","regeneration late"
"CR07","Coffea_sp",23,"cacao regeneration late","regeneration late"
"CR07","Coffea_sp",23,"cacao regeneration late","regeneration late"
"CR07","Coffea_sp",23,"cacao regeneration late","regeneration late"
"CR07","Coffea_sp",23,"cacao regeneration late","regeneration late"
"CR07","Coffea_sp",23,"cacao regeneration late","regeneration late"
"CR07","Coffea_sp",23,"cacao regeneration late","regeneration late"
"CR07","Coffea_sp",23,"cacao regeneration late","regeneration late"
"CR07","Coffea_sp",23,"cacao regeneration late","regeneration late"
"CR07","Coffea_sp",23,"cacao regeneration late","regeneration late"
"CR07","Coffea_sp",23,"cacao regeneration late","regeneration late"
"CR07","Coffea_sp",23,"cacao regeneration late","regeneration late"
"CR07","Coffea_sp",23,"cacao regeneration late","regeneration late"
"CR07","Coffea_sp",23,"cacao regeneration late","regeneration late"
"CR07","Coffea_sp",23,"cacao regeneration late","regeneration late"
"CR07","Coffea_sp",23,"cacao regeneration late","regeneration late"
"CR11","Conostegia_superba",23,"cacao regeneration late","regeneration late"
"CR11","Conostegia_superba",23,"cacao regeneration late","regeneration late"
"CR11","Conostegia_superba",23,"cacao regeneration late","regeneration late"
"PR21","Couepia_subcordata",36,"pasture regeneration late","regeneration late"
"PR34","Croton_wagneri",38,"pasture regeneration late","regeneration late"
"OG42","Dicot_001",55,"old-growth forest","old-growth forest"
"OG42","Dicot_001",55,"old-growth forest","old-growth forest"
"OG46","Dussia_lehmannii",55,"old-growth forest","old-growth forest"
"OG39","Dussia_lehmannii",55,"old-growth forest","old-growth forest"
"OG39","Elaeagea_sp",55,"old-growth forest","old-growth forest"
"OG39","Elaeagea_sp",55,"old-growth forest","old-growth forest"
"OG39","Elaeagea_sp",55,"old-growth forest","old-growth forest"
"OG39","Elaeagea_sp",55,"old-growth forest","old-growth forest"
"PR34","Eschweilera_caudiculata",38,"pasture regeneration late","regeneration late"
"PR22","Eschweilera_rimbachii",12,"pasture regeneration early","regeneration early"
"CR14","Eugenia_sp_(guayabillo)",38,"cacao regeneration late","regeneration late"
"OG39","Faramea_langlassei",55,"old-growth forest","old-growth forest"
"OG39","Faramea_langlassei",55,"old-growth forest","old-growth forest"
"OG39","Faramea_langlassei",55,"old-growth forest","old-growth forest"
"CR11","Faramea_langlassei",23,"cacao regeneration late","regeneration late"
"PR34","Faramea_langlassei",38,"pasture regeneration late","regeneration late"
"CR10","Ficus",24,"cacao regeneration late","regeneration late"
"OG41","Guarea_kunthiana",55,"old-growth forest","old-growth forest"
"OG43","Guarea_kunthiana",55,"old-growth forest","old-growth forest"
"OG43","Guarea_kunthiana",55,"old-growth forest","old-growth forest"
"PR21","Guarea_kunthiana",36,"pasture regeneration late","regeneration late"
"OG28","Guarea_kunthiana",55,"old-growth forest","old-growth forest"
"PR24","Guion",21,"pasture regeneration late","regeneration late"
"CR14","Heisteria_concinna",38,"cacao regeneration late","regeneration late"
"OG49","Heisteria_concinnea",55,"old-growth forest","old-growth forest"
"OG39","Heisteria_pacifica",55,"old-growth forest","old-growth forest"
"OG41","Heisteria_pacifica",55,"old-growth forest","old-growth forest"
"CR09","Heisteria_pacifica",6,"cacao regeneration early","regeneration early"
"CR13","Heisteria_pacifica",1,"cacao regeneration early","regeneration early"
"OG46","Heisteria_sp",55,"old-growth forest","old-growth forest"
"OG46","Heisteria_sp",55,"old-growth forest","old-growth forest"
"OG46","Heisteria_sp",55,"old-growth forest","old-growth forest"
"OG41","Heisteria_sp",55,"old-growth forest","old-growth forest"
"OG46","Heisteria_sp",55,"old-growth forest","old-growth forest"
"OG46","Heisteria_sp",55,"old-growth forest","old-growth forest"
"OG46","Heisteria_sp",55,"old-growth forest","old-growth forest"
"OG46","Heisteria_sp",55,"old-growth forest","old-growth forest"
"OG46","Heisteria_sp",55,"old-growth forest","old-growth forest"
"OG46","Heisteria_sp",55,"old-growth forest","old-growth forest"
"OG46","Heisteria_sp",55,"old-growth forest","old-growth forest"
"OG49","Heisteria_sp",55,"old-growth forest","old-growth forest"
"OG42","Heisteria_sp",55,"old-growth forest","old-growth forest"
"OG49","Heisteria_sp",55,"old-growth forest","old-growth forest"
"OG46","Heisteria_sp",55,"old-growth forest","old-growth forest"
"OG46","Heisteria_sp",55,"old-growth forest","old-growth forest"
"OG46","Heisteria_sp",55,"old-growth forest","old-growth forest"
"OG46","Heisteria_sp",55,"old-growth forest","old-growth forest"
"OG46","Heisteria_sp",55,"old-growth forest","old-growth forest"
"OG49","Heisteria_sp",55,"old-growth forest","old-growth forest"
"OG46","Heisteria_sp",55,"old-growth forest","old-growth forest"
"OG46","Heisteria_sp",55,"old-growth forest","old-growth forest"
"OG46","Heisteria_sp",55,"old-growth forest","old-growth forest"
"OG46","Heisteria_sp",55,"old-growth forest","old-growth forest"
"OG46","Heisteria_sp",55,"old-growth forest","old-growth forest"
"OG46","Heisteria_sp",55,"old-growth forest","old-growth forest"
"OG46","Heisteria_sp",55,"old-growth forest","old-growth forest"
"OG41","Heisteria_sp",55,"old-growth forest","old-growth forest"
"OG46","Heisteria_sp",55,"old-growth forest","old-growth forest"
"OG41","Heisteria_sp",55,"old-growth forest","old-growth forest"
"OG46","Heisteria_sp",55,"old-growth forest","old-growth forest"
"OG46","Heisteria_sp",55,"old-growth forest","old-growth forest"
"OG46","Heisteria_sp",55,"old-growth forest","old-growth forest"
"OG46","Heisteria_sp",55,"old-growth forest","old-growth forest"
"OG46","Heisteria_sp",55,"old-growth forest","old-growth forest"
"OG49","Heisteria_sp",55,"old-growth forest","old-growth forest"
"OG46","Heisteria_sp",55,"old-growth forest","old-growth forest"
"OG46","Heisteria_sp",55,"old-growth forest","old-growth forest"
"OG46","Heisteria_sp",55,"old-growth forest","old-growth forest"
"OG46","Heisteria_sp",55,"old-growth forest","old-growth forest"
"OG46","Heisteria_sp",55,"old-growth forest","old-growth forest"
"OG46","Heisteria_sp",55,"old-growth forest","old-growth forest"
"OG46","Heisteria_sp",55,"old-growth forest","old-growth forest"
"OG46","Heisteria_sp",55,"old-growth forest","old-growth forest"
"OG42","Heisteria_sp",55,"old-growth forest","old-growth forest"
"OG42","Heisteria_sp",55,"old-growth forest","old-growth forest"
"OG46","Heisteria_sp",55,"old-growth forest","old-growth forest"
"OG46","Heisteria_sp",55,"old-growth forest","old-growth forest"
"OG49","Heisteria_sp",55,"old-growth forest","old-growth forest"
"OG46","Heisteria_sp",55,"old-growth forest","old-growth forest"
"OG46","Heisteria_sp",55,"old-growth forest","old-growth forest"
"OG46","Heisteria_sp",55,"old-growth forest","old-growth forest"
"OG46","Heisteria_sp",55,"old-growth forest","old-growth forest"
"OG46","Heisteria_sp",55,"old-growth forest","old-growth forest"
"OG46","Heisteria_sp",55,"old-growth forest","old-growth forest"
"OG46","Heisteria_sp",55,"old-growth forest","old-growth forest"
"OG46","Heisteria_sp",55,"old-growth forest","old-growth forest"
"OG46","Heisteria_sp",55,"old-growth forest","old-growth forest"
"OG46","Heisteria_sp",55,"old-growth forest","old-growth forest"
"OG46","Heisteria_sp",55,"old-growth forest","old-growth forest"
"OG46","Heisteria_sp",55,"old-growth forest","old-growth forest"
"OG46","Heisteria_sp",55,"old-growth forest","old-growth forest"
"OG46","Heisteria_sp",55,"old-growth forest","old-growth forest"
"OG46","Heisteria_sp",55,"old-growth forest","old-growth forest"
"OG46","Heisteria_sp",55,"old-growth forest","old-growth forest"
"OG46","Heisteria_sp",55,"old-growth forest","old-growth forest"
"OG46","Heisteria_sp",55,"old-growth forest","old-growth forest"
"OG46","Heisteria_sp",55,"old-growth forest","old-growth forest"
"OG49","Heisteria_sp",55,"old-growth forest","old-growth forest"
"OG46","Heisteria_sp",55,"old-growth forest","old-growth forest"
"OG46","Heisteria_sp",55,"old-growth forest","old-growth forest"
"OG46","Heisteria_sp",55,"old-growth forest","old-growth forest"
"OG46","Heisteria_sp",55,"old-growth forest","old-growth forest"
"OG46","Heisteria_sp",55,"old-growth forest","old-growth forest"
"OG46","Heisteria_sp",55,"old-growth forest","old-growth forest"
"OG46","Heisteria_sp",55,"old-growth forest","old-growth forest"
"OG42","Heisteria_sp",55,"old-growth forest","old-growth forest"
"OG46","Heisteria_sp",55,"old-growth forest","old-growth forest"
"OG46","Heisteria_sp",55,"old-growth forest","old-growth forest"
"OG49","Heisteria_sp",55,"old-growth forest","old-growth forest"
"OG49","Heisteria_sp",55,"old-growth forest","old-growth forest"
"OG46","Heisteria_sp",55,"old-growth forest","old-growth forest"
"OG46","Heisteria_sp",55,"old-growth forest","old-growth forest"
"OG46","Heisteria_sp",55,"old-growth forest","old-growth forest"
"OG46","Heisteria_sp",55,"old-growth forest","old-growth forest"
"OG46","Heisteria_sp",55,"old-growth forest","old-growth forest"
"OG46","Heisteria_sp",55,"old-growth forest","old-growth forest"
"OG46","Heisteria_sp",55,"old-growth forest","old-growth forest"
"OG46","Heisteria_sp",55,"old-growth forest","old-growth forest"
"OG46","Heisteria_sp",55,"old-growth forest","old-growth forest"
"OG46","Heisteria_sp",55,"old-growth forest","old-growth forest"
"OG46","Heisteria_sp",55,"old-growth forest","old-growth forest"
"OG46","Heisteria_sp",55,"old-growth forest","old-growth forest"
"OG46","Heisteria_sp",55,"old-growth forest","old-growth forest"
"OG46","Heisteria_sp",55,"old-growth forest","old-growth forest"
"OG46","Heisteria_sp",55,"old-growth forest","old-growth forest"
"OG46","Heisteria_sp",55,"old-growth forest","old-growth forest"
"OG45","Heisteria_sp",55,"old-growth forest","old-growth forest"
"OG46","Heisteria_sp",55,"old-growth forest","old-growth forest"
"OG46","Heisteria_sp",55,"old-growth forest","old-growth forest"
"OG46","Heisteria_sp",55,"old-growth forest","old-growth forest"
"OG46","Heisteria_sp",55,"old-growth forest","old-growth forest"
"OG46","Heisteria_sp",55,"old-growth forest","old-growth forest"
"OG46","Heisteria_sp",55,"old-growth forest","old-growth forest"
"OG41","Heisteria_sp",55,"old-growth forest","old-growth forest"
"OG46","Heisteria_sp",55,"old-growth forest","old-growth forest"
"OG46","Heisteria_sp",55,"old-growth forest","old-growth forest"
"OG46","Heisteria_sp",55,"old-growth forest","old-growth forest"
"OG46","Heisteria_sp",55,"old-growth forest","old-growth forest"
"OG46","Heisteria_sp",55,"old-growth forest","old-growth forest"
"OG49","Heisteria_sp",55,"old-growth forest","old-growth forest"
"OG46","Heisteria_sp",55,"old-growth forest","old-growth forest"
"OG42","Heisteria_sp",55,"old-growth forest","old-growth forest"
"OG46","Heisteria_sp",55,"old-growth forest","old-growth forest"
"OG46","Heisteria_sp",55,"old-growth forest","old-growth forest"
"OG46","Heisteria_sp",55,"old-growth forest","old-growth forest"
"OG46","Heisteria_sp",55,"old-growth forest","old-growth forest"
"OG46","Heisteria_sp",55,"old-growth forest","old-growth forest"
"OG46","Heisteria_sp",55,"old-growth forest","old-growth forest"
"OG46","Heisteria_sp",55,"old-growth forest","old-growth forest"
"OG46","Heisteria_sp",55,"old-growth forest","old-growth forest"
"OG46","Heisteria_sp",55,"old-growth forest","old-growth forest"
"OG38","Heisteria_sp",55,"old-growth forest","old-growth forest"
"OG46","Heisteria_sp",55,"old-growth forest","old-growth forest"
"OG46","Heisteria_sp",55,"old-growth forest","old-growth forest"
"OG46","Heisteria_sp",55,"old-growth forest","old-growth forest"
"OG46","Heisteria_sp",55,"old-growth forest","old-growth forest"
"OG46","Heisteria_sp",55,"old-growth forest","old-growth forest"
"OG46","Heisteria_sp",55,"old-growth forest","old-growth forest"
"OG46","Heisteria_sp",55,"old-growth forest","old-growth forest"
"OG46","Heisteria_sp",55,"old-growth forest","old-growth forest"
"OG46","Heisteria_sp",55,"old-growth forest","old-growth forest"
"OG46","Heisteria_sp",55,"old-growth forest","old-growth forest"
"OG46","Heisteria_sp",55,"old-growth forest","old-growth forest"
"OG46","Heisteria_sp",55,"old-growth forest","old-growth forest"
"OG45","Heisteria_sp",55,"old-growth forest","old-growth forest"
"OG46","Heisteria_sp",55,"old-growth forest","old-growth forest"
"OG46","Heisteria_sp",55,"old-growth forest","old-growth forest"
"OG46","Heisteria_sp",55,"old-growth forest","old-growth forest"
"OG46","Heisteria_sp",55,"old-growth forest","old-growth forest"
"OG46","Heisteria_sp",55,"old-growth forest","old-growth forest"
"OG46","Heisteria_sp",55,"old-growth forest","old-growth forest"
"OG46","Heisteria_sp",55,"old-growth forest","old-growth forest"
"OG46","Heisteria_sp",55,"old-growth forest","old-growth forest"
"OG46","Heisteria_sp",55,"old-growth forest","old-growth forest"
"OG45","Heisteria_sp",55,"old-growth forest","old-growth forest"
"OG46","Heisteria_sp",55,"old-growth forest","old-growth forest"
"OG46","Heisteria_sp",55,"old-growth forest","old-growth forest"
"OG46","Heisteria_sp",55,"old-growth forest","old-growth forest"
"OG46","Heisteria_sp",55,"old-growth forest","old-growth forest"
"OG46","Heisteria_sp",55,"old-growth forest","old-growth forest"
"OG46","Heisteria_sp",55,"old-growth forest","old-growth forest"
"OG46","Heisteria_sp",55,"old-growth forest","old-growth forest"
"OG46","Heisteria_sp",55,"old-growth forest","old-growth forest"
"OG46","Heisteria_sp",55,"old-growth forest","old-growth forest"
"OG46","Heisteria_sp",55,"old-growth forest","old-growth forest"
"OG46","Heisteria_sp",55,"old-growth forest","old-growth forest"
"OG46","Heisteria_sp",55,"old-growth forest","old-growth forest"
"OG46","Heisteria_sp",55,"old-growth forest","old-growth forest"
"OG46","Heisteria_sp",55,"old-growth forest","old-growth forest"
"OG49","Heisteria_sp",55,"old-growth forest","old-growth forest"
"OG46","Heisteria_sp",55,"old-growth forest","old-growth forest"
"OG46","Heisteria_sp",55,"old-growth forest","old-growth forest"
"OG46","Heisteria_sp",55,"old-growth forest","old-growth forest"
"OG46","Heisteria_sp",55,"old-growth forest","old-growth forest"
"OG49","Heisteria_sp",55,"old-growth forest","old-growth forest"
"OG46","Heisteria_sp",55,"old-growth forest","old-growth forest"
"OG46","Heisteria_sp",55,"old-growth forest","old-growth forest"
"OG46","Heisteria_sp",55,"old-growth forest","old-growth forest"
"OG49","Heisteria_sp",55,"old-growth forest","old-growth forest"
"OG46","Heisteria_sp",55,"old-growth forest","old-growth forest"
"OG46","Heisteria_sp",55,"old-growth forest","old-growth forest"
"OG46","Heisteria_sp",55,"old-growth forest","old-growth forest"
"OG46","Heisteria_sp",55,"old-growth forest","old-growth forest"
"OG46","Heisteria_sp",55,"old-growth forest","old-growth forest"
"OG46","Heisteria_sp",55,"old-growth forest","old-growth forest"
"OG46","Heisteria_sp",55,"old-growth forest","old-growth forest"
"OG46","Heisteria_sp",55,"old-growth forest","old-growth forest"
"OG46","Heisteria_sp",55,"old-growth forest","old-growth forest"
"OG49","Heisteria_sp",55,"old-growth forest","old-growth forest"
"OG46","Heisteria_sp",55,"old-growth forest","old-growth forest"
"OG46","Heisteria_sp",55,"old-growth forest","old-growth forest"
"OG46","Heisteria_sp",55,"old-growth forest","old-growth forest"
"OG46","Heisteria_sp",55,"old-growth forest","old-growth forest"
"OG46","Heisteria_sp",55,"old-growth forest","old-growth forest"
"OG46","Heisteria_sp",55,"old-growth forest","old-growth forest"
"OG46","Heisteria_sp",55,"old-growth forest","old-growth forest"
"OG46","Heisteria_sp",55,"old-growth forest","old-growth forest"
"OG46","Heisteria_sp",55,"old-growth forest","old-growth forest"
"OG49","Heisteria_sp",55,"old-growth forest","old-growth forest"
"OG46","Heisteria_sp",55,"old-growth forest","old-growth forest"
"OG46","Heisteria_sp",55,"old-growth forest","old-growth forest"
"OG46","Heisteria_sp",55,"old-growth forest","old-growth forest"
"OG46","Heisteria_sp",55,"old-growth forest","old-growth forest"
"OG45","Heisteria_sp",55,"old-growth forest","old-growth forest"
"OG46","Heisteria_sp",55,"old-growth forest","old-growth forest"
"OG46","Heisteria_sp",55,"old-growth forest","old-growth forest"
"OG46","Heisteria_sp",55,"old-growth forest","old-growth forest"
"OG46","Heisteria_sp",55,"old-growth forest","old-growth forest"
"OG46","Heisteria_sp",55,"old-growth forest","old-growth forest"
"OG46","Heisteria_sp",55,"old-growth forest","old-growth forest"
"OG45","Heisteria_sp",55,"old-growth forest","old-growth forest"
"OG49","Heisteria_sp",55,"old-growth forest","old-growth forest"
"OG46","Heisteria_sp",55,"old-growth forest","old-growth forest"
"OG45","Heisteria_sp2",55,"old-growth forest","old-growth forest"
"OG43","Heisteria_sp2",55,"old-growth forest","old-growth forest"
"OG45","Heisteria_sp2",55,"old-growth forest","old-growth forest"
"OG43","Heisteria_sp2",55,"old-growth forest","old-growth forest"
"OG45","Huberodendron_sp2",55,"old-growth forest","old-growth forest"
"OG49","Huberodendron_sp2",55,"old-growth forest","old-growth forest"
"OG45","Huberodendron_sp2",55,"old-growth forest","old-growth forest"
"CR14","Huberodendron_sp2",38,"cacao regeneration late","regeneration late"
"OG49","Huevo_de_mono",55,"old-growth forest","old-growth forest"
"OG49","Huevo_de_mono",55,"old-growth forest","old-growth forest"
"OG49","Huevo_de_mono",55,"old-growth forest","old-growth forest"
"OG49","Huevo_de_mono",55,"old-growth forest","old-growth forest"
"OG49","Huevo_de_mono",55,"old-growth forest","old-growth forest"
"CR10","Hymenolobium_heterocarpum",24,"cacao regeneration late","regeneration late"
"CR14","Indet_no_leaves",38,"cacao regeneration late","regeneration late"
"OG42","Indet",55,"old-growth forest","old-growth forest"
"OG38","Indet",55,"old-growth forest","old-growth forest"
"OG42","Indet",55,"old-growth forest","old-growth forest"
"OG39","Indet",55,"old-growth forest","old-growth forest"
"OG42","Indet",55,"old-growth forest","old-growth forest"
"OG38","Indet",55,"old-growth forest","old-growth forest"
"CR10","Indet",24,"cacao regeneration late","regeneration late"
"CR06","Indet",33,"cacao regeneration late","regeneration late"
"PR26","Indet",28,"pasture regeneration late","regeneration late"
"OG38","Ing_acuminata",55,"old-growth forest","old-growth forest"
"OG38","Inga_acuminata",55,"old-growth forest","old-growth forest"
"OG45","Inga_acuminata",55,"old-growth forest","old-growth forest"
"OG46","Inga_acuminata",55,"old-growth forest","old-growth forest"
"OG38","Inga_acuminata",55,"old-growth forest","old-growth forest"
"OG38","Inga_acuminata",55,"old-growth forest","old-growth forest"
"OG38","Inga_acuminata",55,"old-growth forest","old-growth forest"
"CR12","Inga_acuminata",15,"cacao regeneration late","regeneration late"
"OG52","Inga_carinata",55,"old-growth forest","old-growth forest"
"OG42","Inga_carinata",55,"old-growth forest","old-growth forest"
"OG42","Inga_carinata",55,"old-growth forest","old-growth forest"
"OG47","Inga_carinata",55,"old-growth forest","old-growth forest"
"OG42","Inga_carinata",55,"old-growth forest","old-growth forest"
"OG42","Inga_carinata",55,"old-growth forest","old-growth forest"
"OG40","Inga_carinata",55,"old-growth forest","old-growth forest"
"OG46","Inga_carinata",55,"old-growth forest","old-growth forest"
"OG46","Inga_carinata",55,"old-growth forest","old-growth forest"
"OG45","Inga_carinata",55,"old-growth forest","old-growth forest"
"OG44","Inga_carinata",55,"old-growth forest","old-growth forest"
"OG46","Inga_carinata",55,"old-growth forest","old-growth forest"
"OG46","Inga_carinata",55,"old-growth forest","old-growth forest"
"OG39","Inga_carinata",55,"old-growth forest","old-growth forest"
"OG42","Inga_carinata",55,"old-growth forest","old-growth forest"
"OG46","Inga_carinata",55,"old-growth forest","old-growth forest"
"OG42","Inga_carinata",55,"old-growth forest","old-growth forest"
"OG42","Inga_carinata",55,"old-growth forest","old-growth forest"
"OG42","Inga_carinata",55,"old-growth forest","old-growth forest"
"OG44","Inga_carinata",55,"old-growth forest","old-growth forest"
"OG46","Inga_carinata",55,"old-growth forest","old-growth forest"
"OG46","Inga_carinata",55,"old-growth forest","old-growth forest"
