"plant_species","FruitWidth","Height","CropMass"
"Nectandra_guadaripo",8.372,48,696
"Trichilia_surinamensis",10.678,18.5,851.4
"A-OG3801",6.508,24,583.2
"Iriartea_deltoidea",11.8963414634146,24.875,5035.9725
"Ficus_pertusa",10.586,20,146.16
"Licania_glauca",11.67,26,1535.55
"Miconia_cooperi",2.2905,8.6,1.52166666666667
"Carapa_guianensis",94.17,23.5,4543.7
"Hortia_brasiliana",24.985,41,1197
"Virola_pavonis",20.1446153846154,23.7777777777778,2170.38461538462
"A-PR2101",21.9005,1,924.12
"Matisia_longipes",19.2836363636364,23.6,1152.8
"Conceveiba_martiana",33.091,30.25,2677.5
"Caryocar_glabrum",12.7842857142857,43,13892.5714285714
"Guarea_macrophylla",9.165,35,2232
"Guarea_guidonia",14.236,42,560
"Guarea_cartaguenya",NA,32,NA
"Hymenolobium_heterocarpum",NA,38.5,NA
"Apeiba_membranacea",47.54,44.5,12605.3571428571
"Croton_tessmannii",16.307,19,245.7
"Brosimum_utile",22.1132352941176,33.0588235294118,2084.68300653595
"Daphnopsis_occulta",27.175,24,2380
"Gustavia_hexapetala",NA,33,NA
"Sorocea_jaramilloi",11.7743333333333,18.2,704.733333333333
"Guarea_bullata",6.90272727272727,18.6666666666667,304.363636363636
"Myrcia_aliena",13.827,15,1334.25
"Matisia_bracteolosa",15.575,46,1600
"Osteophloeum_platyspermum",30.2507692307692,47,51999.2307692308
"Otoba_gracilipes",15.16,35,2756.52
"Tetrorchidium_andinum",6.292,28,598
"A-OG4401",14.635,3,32.2
"Prestoea_ensiformis",11.8978333333333,13.25,788.77375
"Couepia_subcordata",6.563,34,93
"Andira_taurotesticulata",36.0157142857143,26.5,6896.44666666667
"Theobroma_gileri",NA,12,NA
"Brosimum_guianense",15.7733333333333,40,450
"Protium_ecuadorense",27.66125,32.625,9859.85
"A-OG4701",59.9483333333333,3,931.71
"Protium_colombianum",38.853,52,520.6
"OG48199",NA,32,NA
"Pourouma_guianensis",18.1233333333333,34.1666666666667,2507.77777777778
"Henriettella_lawrancei",3.64047619047619,5.5,30.0238095238095
"Hieronyma_alchorneoides",3.31,23.125,333.88
"Jacaratia_spinosa",27.835,22,616.1
"Klarobelia_megalocarpa",25.3255555555556,21,14112.2222222222
"Clarisia_racemosa",30.666,39,2015
"Virola_reidii",21.247,28.75,2606
"OG52-22",NA,28,NA
"Quararibea_caldasiana",NA,24,NA
"Isertia_pittieri",13.1802083333333,7.91666666666667,1065.20297619048
"A-PA5301",4.1905,0.5,6.6
"A-PA5601",4.804,0.75,32.3866666666667
"A-PA5701",9.908,17,1905.9375
"A-PR1901",8.684,4,301.2
"Cupania_americana",NA,9,NA
"Handroanthus_chrysanthus",4.042,18,173.6
"A-PR2202",26.4033333333333,1,236.837142857143
"Anthurium_sp1",16.15,2,15.54
"Bixa_orellana",33.935,3,322.92
"Allophylus_angustatus",8.658,19,244.8
"Meliosma_herbertii",24.691,17,279.584
"A-PR2401",NA,NA,NA
"Matisia_castano",NA,11,NA
"Miconia_montana",1.625,12.8888888888889,9.625
"A-PR2601",8.12,1,11.4
"A-PR2801",7.0925,1,8.5
"Palicourea_chimboracensis",NA,3.66666666666667,NA
"Ficus_maxima",33.685,46,13626
"Poulsenia_armata",NA,21,NA
"A-PR3302",5.362,NA,NA
"A-PR3301",7.706,2,45.75
"A-PR3401",15.441,6,198
"Eugenia_multirimosa",10.5427777777778,29.5,487.5
"A-PR3601",8.307,3,196.8
